Player,Team,Affiliation,Year,"Round
 Number","Round
 Pick","Overall
 Pick"
"<!----><a ng-href=""/stats/player/76984/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76984/""> Brian Heaney <!----> <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Acadia (CAN),1969,19,4,215
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jay Reffords <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",,1968,19,4,211
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ken Hall <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Westminster (PA),1969,18,2,208
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jerry Trice <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Weber State,1966,18,1,111
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Chip Case <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Virginia,1969,18,5,211
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jerry Southwood <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Vanderbilt,1967,18,1,160
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bruce Butchko <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Southern Illinois,1970,18,2,235
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Harold Grant <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Pepperdine,1968,18,1,204
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Joe Pridgen <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",North Carolina Central,1969,18,3,209
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Don Johnston <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",North Carolina,1973,18,1,207
