PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,SEASON
Allen Crabbe,SG,4.65%,8.25,8.5,6' 5.25'',6' 6.25'',8' 7.5'',197.4,6' 11.25'',2013-2014
Myck Kabongo,PG,6.00%,8.25,9.0,6' 1.25'',6' 2.75'',8' 2'',180.4,6' 6.25'',2013-2014
Nate Wolters,PG,5.50%,8.25,8.75,6' 3.5'',6' 4.75'',8' 2'',196.4,6' 3.75'',2013-2014
Vander Blue,SG,4.60%,8.5,9.5,6' 3.5'',6' 5.25'',8' 4.5'',197.4,6' 6'',2013-2014
Reggie Bullock,SG-SF,6.95%,8.5,9.0,6' 5.75'',6' 7'',8' 6'',199.8,6' 8.75'',2013-2014
Kentavious Caldwell-Pope,SG,6.45%,8.5,9.0,6' 4.5'',6' 5.5'',8' 4.5'',203.6,6' 8'',2013-2014
James Ennis,SF,4.50%,8.5,8.75,6' 5.75'',6' 7'',8' 8.5'',200.8,6' 11.5'',2013-2014
Carrick Felix,SF-SG,3.30%,8.5,9.5,6' 4.75'',6' 6.25'',8' 7.5'',202.6,6' 9.25'',2013-2014
Jamaal Franklin,SG-SF,8.25%,8.5,8.25,6' 4'',6' 5.25'',8' 7.5'',190.8,6' 11.25'',2013-2014
Archie Goodwin,SG,4.55%,8.5,9.0,6' 3.75'',6' 5.25'',8' 6'',189.0,6' 9.5'',2013-2014
Erick Green,PG,4.35%,8.5,9.0,6' 1.5'',6' 3'',8' 2'',178.2,6' 5.75'',2013-2014
Grant Jerrett,PF,10.05%,8.5,9.25,6' 8.75'',6' 10.25'',9' 1'',232.0,7' 2'',2013-2014
Ricky Ledo,SG,10.25%,8.5,9.25,6' 4.75'',6' 6'',8' 6.5'',197.2,6' 7.25'',2013-2014
Mike Muscala,C-PF,6.80%,8.5,9.0,6' 10.25'',6' 11.5'',9' 0'',230.2,7' 1'',2013-2014
Kelly Olynyk,PF-C,6.65%,8.5,10.0,6' 10.75'',7' 0'',9' 0'',234.0,6' 9.75'',2013-2014
Brandon Paul,SG,5.25%,8.5,9.5,6' 2.75'',6' 4'',8' 2'',201.0,6' 10.25'',2013-2014
Glen Rice,SF-SG,8.45%,8.5,9.0,6' 4.5'',6' 5.75'',8' 5.5'',210.8,6' 9.25'',2013-2014
BJ Young,SG-PG,4.70%,8.5,9.5,6' 2.25'',6' 3.5'',8' 3'',178.8,6' 8.25'',2013-2014
Cody Zeller,C-PF,4.75%,8.5,10.5,6' 10.75'',7' 0.25'',8' 10'',230.0,6' 10.75'',2013-2014
Richard Howell,PF,8.75%,8.75,9.5,6' 6.25'',6' 7.5'',8' 9.5'',249.6,6' 10.25'',2013-2014
CJ Leslie,PF-SF,7.95%,8.75,9.0,6' 7.5'',6' 8.75'',8' 8.5'',209.2,7' 2.25'',2013-2014
Ben McLemore,SG,5.00%,8.75,9.5,6' 3.5'',6' 4.75'',8' 4.5'',189.2,6' 7.75'',2013-2014
Erik Murphy,PF,7.95%,8.75,9.75,6' 8.75'',6' 9.5'',9' 0'',239.8,6' 10.5'',2013-2014
Victor Oladipo,SG,6.55%,8.75,9.25,6' 3.25'',6' 4.25'',8' 4.5'',213.2,6' 9.25'',2013-2014
Norvel Pelle,PF-C,5.15%,8.75,9.5,6' 9.5'',6' 10.5'',9' 1'',207.2,7' 2.5'',2013-2014
Otto Porter,SF,6.65%,8.75,9.25,6' 7.5'',6' 8.5'',8' 9.5'',197.6,7' 1.5'',2013-2014
Andre Roberson,PF-SF,7.05%,8.75,9.5,6' 6.25'',6' 7'',8' 8.5'',205.8,6' 11'',2013-2014
Dennis Schroder,PG,4.10%,8.75,10.5,6' 1'',6' 2'',8' 2'',164.8,6' 7.75'',2013-2014
Jackie Carmichael,PF,5.80%,9.0,10.25,6' 7.5'',6' 9'',8' 11'',241.2,7' 1.5'',2013-2014
Robert Covington,SF-PF,4.70%,9.0,8.5,6' 6.25'',6' 7.5'',8' 10'',208.6,7' 1.75'',2013-2014
Brandon Davies,PF,8.60%,9.0,11.0,6' 8.5'',6' 10.25'',9' 0.5'',241.8,7' 1.5'',2013-2014
Dewayne Dedmon,C,8.35%,9.0,11.0,6' 10'',6' 11.5'',9' 1'',238.8,7' 4'',2013-2014
Gorgui Dieng,C,5.35%,9.0,10.0,6' 9.75'',6' 10.75'',9' 3.5'',229.6,7' 3.5'',2013-2014
Solomon Hill,SF,7.60%,9.0,10.5,6' 5.5'',6' 7'',8' 7'',226.0,6' 9'',2013-2014
Kenny Kadji,PF-C,7.45%,9.0,10.25,6' 8.75'',6' 10'',8' 10.5'',241.6,7' 3'',2013-2014
Ryan Kelly,PF,14.75%,9.0,10.0,6' 9.75'',6' 11.75'',9' 2'',228.0,6' 11.5'',2013-2014
Alex Len,C,6.40%,9.0,10.75,,,,-,7' 3.5'',2013-2014
Tony Mitchell,PF-SF,5.55%,9.0,10.0,6' 7.5'',6' 8.75'',8' 10.5'',236.4,7' 2.5'',2013-2014
Shabazz Muhammad,SF-SG,9.00%,9.0,10.0,6' 4.75'',6' 6.25'',8' 8.5'',221.8,6' 11'',2013-2014
Tony Snell,SF-SG,4.85%,9.0,9.5,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5'',2013-2014
Jeff Withey,C,8.65%,9.0,9.75,6' 10.75'',7' 0.5'',9' 2.5'',221.8,7' 2'',2013-2014
Will Clyburn,SF-SG,6.85%,9.25,10.25,6' 5.75'',6' 7'',8' 9'',210.4,7' 0.25'',2013-2014
Colton Iverson,C,9.60%,9.25,9.5,6' 10.5'',7' 0'',9' 2'',262.8,7' 2'',2013-2014
Adonis Thomas,SF,7.50%,9.25,9.5,6' 4.75'',6' 5.75'',8' 3'',231.8,7' 1'',2013-2014
Steven Adams,C,6.65%,9.5,11.0,6' 10.75'',7' 0'',9' 1.5'',254.5,7' 4.5'',2013-2014
Trevor Mbakwe,PF,5.90%,9.5,11.5,6' 6.75'',6' 8'',8' 10.5'',235.8,7' 4'',2013-2014
Nerlens Noel,C,4.15%,9.5,10.0,6' 10'',6' 11.75'',9' 2'',206.4,7' 3.75'',2013-2014
Rudy Gobert,C,4.40%,9.75,10.0,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5'',2013-2014
Mason Plumlee,C-PF,6.15%,9.75,9.5,6' 11.25'',7' 0.5'',9' 0'',238.2,6' 11'',2013-2014
Jarnell Stokes,PF,8.20%,9.75,10.5,6' 7'',6' 8.5'',8' 7.5'',262.8,7' 1.25'',2014-2015
Noah Vonleh,PF,7.30%,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25'',2014-2015
Jordan Bachynski,PF,7.45%,9.25,10.0,7' 1.25'',7' 2'',9' 0.5'',254.1,7' 4'',2014-2015
Alec Brown,PF,7.70%,9.25,8.75,7' 0.25'',7' 1.25'',9' 1'',231.2,7' 1.5'',2014-2015
DeAndre Daniels,SF,3.85%,9.25,10.5,6' 7.25'',6' 8.5'',8' 10.5'',196.0,7' 2'',2014-2015
Jerami Grant,SF,3.75%,9.25,9.25,6' 6.5'',6' 7.75'',8' 11'',214.0,7' 2.75'',2014-2015
Alex Kirk,PF,13.60%,9.25,10.5,6' 9.25'',6' 10.75'',9' 1.5'',252.0,7' 3.5'',2014-2015
James McAdoo,PF,6.15%,9.25,9.0,6' 7.5'',6' 8.75'',8' 10.5'',227.6,7' 2.25'',2014-2015
Johnny O?Bryant III,PF,10.75%,9.25,9.5,6' 7.25'',6' 8.5'',8' 9'',256.8,7' 2.25'',2014-2015
Adreian Payne,PF,7.55%,9.25,9.5,6' 9'',6' 9.75'',9' 1'',238.5,7' 4'',2014-2015
Patric Young,PF,5.45%,9.25,9.5,6' 8.5'',6' 10'',8' 7.5'',246.8,7' 1.75'',2014-2015
Thanasis Antetokounmpo,SF,6.05%,9.0,9.75,6' 5.25'',6' 6.25'',8' 8.5'',205.2,7' 0'',2014-2015
Khem Birch,PF,6.00%,9.0,8.5,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1'',2014-2015
Jabari Brown,SG,6.05%,9.0,9.25,6' 3'',6' 4.25'',8' 4'',201.9,6' 8.25'',2014-2015
C.J. Fair,SF,5.05%,9.0,9.0,6' 6.5'',6' 8'',8' 8'',218.1,6' 9.5'',2014-2015
Sean Kilpatrick,SG,9.20%,9.0,9.0,6' 2.5'',6' 4.25'',8' 3'',218.7,6' 7'',2014-2015
Lamar Patterson,SG,10.75%,9.0,9.25,6' 4'',6' 5.25'',8' 5'',226.0,6' 11'',2014-2015
Dwight Powell,PF,6.20%,9.0,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5'',2014-2015
Glenn Robinson III,SF,5.05%,9.0,9.5,6' 5.5'',6' 6.75'',8' 4.5'',211.4,6' 10'',2014-2015
Marcus Smart,PG,10.55%,9.0,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25'',2014-2015
James Young,SG,5.10%,9.0,9.5,6' 5.25'',6' 6.75'',8' 8'',213.3,7' 0'',2014-2015
Cameron Bairstow,PF,8.70%,8.75,9.0,6' 8.75'',6' 9.75'',8' 11'',252.4,7' 0.75'',2014-2015
Melvin Ejim,SF,6.45%,8.75,9.25,6' 5.25'',6' 7'',8' 7.5'',218.5,6' 11.25'',2014-2015
Aaron Gordon,PF,5.05%,8.75,10.5,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75'',2014-2015
P.J. Hairston,SG,8.20%,8.75,9.75,6' 4.25'',6' 5.25'',8' 5'',228.8,6' 9'',2014-2015
Cory Jefferson,PF,5.25%,8.75,9.75,6' 7.75'',6' 9'',8' 9'',218.4,7' 0.5'',2014-2015
Nick Johnson,SG,6.05%,8.75,9.75,6' 1.5'',6' 3'',8' 0.5'',198.0,6' 7.25'',2014-2015
K.J. McDaniels,SF,4.45%,8.75,9.75,6' 4.5'',6' 6'',8' 6'',195.6,6' 11.25'',2014-2015
Doug McDermott,SF,7.10%,8.75,9.75,6' 6.25'',6' 7.75'',8' 7'',218.0,6' 9.25'',2014-2015
Jordan McRae,SG,5.20%,8.75,8.5,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5'',2014-2015
Elfrid Payton,PG,5.65%,8.75,9.0,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8'',2014-2015
Julius Randle,PF,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0'',2014-2015
LaQuinton Ross,SF,16.30%,8.75,9.75,6' 6.5'',6' 7.5'',8' 10'',238.7,7' 1.75'',2014-2015
T.J. Warren,SF,7.95%,8.75,9.0,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25'',2014-2015
C.J. Wilcox,SG,6.50%,8.75,9.0,6' 3.5'',6' 5'',8' 4.5'',201.0,6' 9.75'',2014-2015
Jordan Adams,SG,10.80%,8.5,7.5,6' 3.5'',6' 4.75'',8' 6'',208.8,6' 10'',2014-2015
Semaj Christon,PG,5.25%,8.5,8.25,6' 1.5'',6' 3.25'',8' 3'',186.0,6' 6.5'',2014-2015
Cleanthony Early,SF,4.45%,8.5,9.0,6' 6'',6' 7.25'',8' 5.5'',209.4,6' 10.75'',2014-2015
Dante Exum,SG,6.40%,8.5,9.5,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5'',2014-2015
Gary Harris,SG,4.55%,8.5,9.5,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75'',2014-2015
Joe Harris,SG,6.20%,8.5,9.75,6' 4.75'',6' 6.25'',8' 4'',215.0,6' 6'',2014-2015
Rodney Hood,SF,7.45%,8.5,8.5,6' 7.25'',6' 8.5'',8' 7'',208.2,6' 8.5'',2014-2015
Nik Stauskas,SG,12.05%,8.5,8.5,6' 5.25'',6' 6.5'',8' 6'',206.9,6' 7.75'',2014-2015
Kyle Anderson,SF,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75'',2014-2015
Markel Brown,SG,4.20%,8.25,9.75,6' 2.5'',6' 3.5'',8' 4'',184.4,6' 8.75'',2014-2015
Deonte Burton,PG,7.65%,8.25,8.0,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7'',2014-2015
Jordan Clarkson,PG,4.30%,8.25,9.0,6' 3.25'',6' 5'',8' 2'',186.3,6' 8'',2014-2015
Spencer Dinwiddie,PG,5.35%,8.25,9.0,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25'',2014-2015
Tyler Ennis,PG,6.20%,8.25,8.75,6' 1'',6' 2.5'',8' 2'',181.5,6' 7.25'',2014-2015
Zach LaVine,PG,4.70%,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25'',2014-2015
Devyn Marble,SG,6.90%,8.25,8.5,6' 5'',6' 6.5'',8' 6'',192.4,6' 9'',2014-2015
Shabazz Napier,PG,7.35%,8.25,8.5,5' 11'',6' 1'',7' 9'',175.2,6' 3.25'',2014-2015
Russ Smith,PG,3.50%,8.25,8.5,5' 11.5'',6' 0.75'',7' 11'',160.0,6' 3.5'',2014-2015
Xavier Thames,PG,6.40%,8.25,9.0,6' 2.25'',6' 3.5'',8' 0'',187.0,6' 4'',2014-2015
Kendall Williams,PG,7.20%,8.0,7.75,6' 2.25'',6' 3.75'',8' 3'',183.0,6' 5.5'',2014-2015
Aaron Craft,PG,6.10%,7.75,8.5,6' 0.75'',6' 1.75'',7' 10.5'',191.6,6' 2'',2014-2015
Ryan Boatright,PG,6.60%,7.5,8.75,5' 10'',5' 11'',7' 8.5'',169.6,6' 0.5'',2015-2016
Quinn Cook,PG,6.70%,7.5,8.75,6' 0.25'',6' 2'',8' 0.5'',179.0,6' 4'',2015-2016
TJ McConnell,PG,7.30%,7.5,7.0,6' 0.5'',6' 2'',8' 0.5'',187.8,6' 2'',2015-2016
Tyler Harvey,SG,9.20%,7.75,8.75,6' 2.75'',6' 4'',8' 2.5'',181.4,6' 5.5'',2015-2016
Olivier Hanlan,PG-SG,4.30%,8.0,8.75,6' 3.25'',6' 4.25'',8' 4'',185.8,6' 6'',2015-2016
J.P. Tokoto,SF-SG,4.10%,8.0,8.75,6' 5.25'',6' 6.25'',8' 4.5'',195.8,6' 10'',2015-2016
Rashad Vaughn,SG,6.20%,8.0,8.5,6' 3.75'',6' 5'',8' 5'',198.6,6' 7'',2015-2016
Delon Wright,PG,6.60%,8.0,8.5,6' 4.25'',6' 5.5'',8' 5.5'',181.4,6' 7.5'',2015-2016
Michael Frazier II,SG,7.40%,8.25,9.25,6' 3.75'',6' 4.25'',8' 5.5'',199.4,6' 8'',2015-2016
Jerian Grant,PG,5.60%,8.25,8.5,6' 3.25'',6' 4.25'',8' 4'',198.0,6' 7.5'',2015-2016
Andrew Harrison,PG,5.90%,8.25,9.25,6' 4.5'',6' 5.5'',8' 4'',213.2,6' 9'',2015-2016
Jonathan Holmes,PF-SF,7.20%,8.25,9.5,6' 8.25'',6' 9.25'',8' 11.5'',242.2,6' 11.5'',2015-2016
Tyus Jones,PG,6.50%,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5'',2015-2016
Jarell Martin,PF,10.10%,8.25,9.5,6' 8'',6' 9.25'',8' 10.5'',238.6,6' 9'',2015-2016
Terran Petteway,SG,4.90%,8.25,8.25,6' 4.75'',6' 6'',8' 8.5'',209.2,6' 11.25'',2015-2016
Terry Rozier,PG-SG,5.60%,8.25,8.5,6' 0.5'',6' 2.25'',8' 2.5'',190.2,6' 8.25'',2015-2016
Marcus Thornton,PG-SG,5.30%,8.25,8.5,6' 1.75'',6' 2.75'',8' 1.5'',177.4,6' 7.75'',2015-2016
Justin Anderson,SF-SG,5.00%,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75'',2015-2016
Anthony Brown,SF-SG,6.10%,8.5,9.0,6' 5.75'',6' 7.25'',8' 8.5'',211.0,6' 11'',2015-2016
Pat Connaughton,SG,10.20%,8.5,9.25,6' 4'',6' 5.25'',8' 0'',215.0,6' 8'',2015-2016
Sam Dekker,SF,7.50%,8.5,9.25,6' 7.75'',6' 9'',8' 10'',218.6,6' 11.5'',2015-2016
Treveon Graham,SF,5.50%,8.5,8.25,6' 4'',6' 5.75'',8' 7'',219.4,6' 10.5'',2015-2016
Richaun Holmes,PF,8.80%,8.5,8.5,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5'',2015-2016
R.J. Hunter,SG,6.00%,8.5,8.25,6' 4.5'',6' 6'',8' 8'',185.0,6' 10.5'',2015-2016
Frank Kaminsky,C-PF,9.40%,8.5,9.5,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11'',2015-2016
Cameron Payne,PG,6.30%,8.5,8.25,6' 0.75'',6' 1.5'',8' 1.5'',182.8,6' 7.25'',2015-2016
Chasson Randle,PG,4.50%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0.5'',178.8,6' 7'',2015-2016
Keifer Sykes,PG,5.00%,8.5,9.5,5' 10.5'',5' 11.75'',7' 9'',167.2,6' 2'',2015-2016
Alan Williams,PF,12.00%,8.5,9.5,6' 7.25'',6' 8.25'',8' 10.5'',261.4,7' 1.75'',2015-2016
Justise Winslow,SF,5.30%,8.5,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25'',2015-2016
Devin Booker,SG,8.30%,8.75,9.0,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25'',2015-2016
Aaron Harrison,SG,6.00%,8.75,10.0,6' 4.5'',6' 6'',8' 4.5'',209.2,6' 8.25'',2015-2016
Corey Hawkins,SG-PG,5.50%,8.75,9.0,6' 0.75'',6' 1.75'',8' 3.5'',191.8,6' 8'',2015-2016
Rondae Hollis-Jefferson,SF,5.00%,8.75,9.75,6' 5.5'',6' 7'',8' 8'',210.8,7' 2'',2015-2016
Chris McCullough,PF,6.20%,8.75,8.75,6' 8.25'',6' 9'',9' 1'',199.0,7' 3.25'',2015-2016
Jordan Mickey,PF,7.20%,8.75,9.5,6' 7'',6' 8.25'',8' 10'',238.0,7' 3.25'',2015-2016
D?Angelo Russell,PG-SG,8.30%,8.75,9.75,6' 3.25'',6' 5'',8' 6'',193.4,6' 9.75'',2015-2016
Dez Wells,SG,8.10%,8.75,9.75,6' 3'',6' 4'',8' 4.5'',208.8,6' 9.5'',2015-2016
Brandon Ashley,PF,8.80%,9.0,9.5,6' 7.25'',6' 8.5'',8' 9'',228.0,7' 3.75'',2015-2016
Branden Dawson,PF,5.80%,9.0,8.75,6' 5.5'',6' 6.75'',8' 9'',230.2,6' 11'',2015-2016
Montrezl Harrell,PF,11.90%,9.0,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25'',2015-2016
Vince Hunter,PF,4.60%,9.0,8.75,6' 6.75'',6' 7.5'',8' 8.5'',208.4,6' 11'',2015-2016
Stanley Johnson,SF,7.50%,9.0,9.0,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5'',2015-2016
Larry Nance,PF,6.40%,9.0,9.75,6' 7.5'',6' 8.5'',9' 0'',226.6,7' 1.5'',2015-2016
Kelly Oubre,SF-SG,5.70%,9.0,8.75,6' 5.75'',6' 6.75'',8' 6.5'',202.8,7' 2.25'',2015-2016
Michael Qualls,SG-SF,4.00%,9.0,10.25,6' 4'',6' 5'',8' 8.5'',201.4,7' 0.25'',2015-2016
Chris Walker,PF,5.10%,9.0,9.0,6' 8.75'',6' 9.25'',9' 0'',208.0,7' 2.75'',2015-2016
Rakeem Christmas,PF-C,9.60%,9.25,9.0,6' 8.25'',6' 9.75'',9' 2.5'',242.6,7' 5.25'',2015-2016
Dakari Johnson,C,14.90%,9.25,10.5,6' 11'',6' 11.75'',9' 4'',264.6,7' 2'',2015-2016
Trey Lyles,PF,12.10%,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5'',2015-2016
Norman Powell,SG,6.40%,9.25,9.0,6' 3'',6' 4.25'',8' 6.5'',215.4,6' 10.75'',2015-2016
Myles Turner,C-PF,9.30%,9.25,9.25,6' 9.75'',6' 11.5'',9' 4'',238.6,7' 4'',2015-2016
Christian Wood,PF,14.70%,9.25,10.75,6' 9.25'',6' 10.5'',9' 3.5'',216.0,7' 3.25'',2015-2016
Cliff Alexander,PF-C,5.80%,9.5,10.25,6' 7.25'',6' 8.5'',9' 1.5'',239.2,7' 3.5'',2015-2016
Willie Cauley-Stein,C,6.30%,9.5,9.0,6' 11.25'',7' 0.5'',9' 3'',242.4,7' 3'',2015-2016
Kevon Looney,PF,11.90%,9.5,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5'',2015-2016
Bobby Portis,PF,8.90%,9.5,9.25,6' 9.5'',6' 10.5'',9' 0.5'',246.2,7' 2'',2015-2016
Robert Upshaw,C,12.50%,10.0,11.0,6' 10.75'',7' 0'',9' 5'',258.2,7' 5.5'',2015-2016
Ben Bentil,PF,9.70%,9.50,10.00,6' 7.25'',6' 8.25'',8' 9'',229.2,7' 1.5'',2016-2017
Georges Niang,PF,10.05%,9.25,9.25,6' 6.75'',6' 8.5'',8' 7'',230.8,6' 10'',2016-2017
Jakob Poeltl,C,5.80%,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239.0,7' 2.75'',2016-2017
Zhou Qi,PF-C,4.85%,9.25,9.50,7' 1.25'',7' 2.25'',9' 4.5'',218.2,7' 7.75'',2016-2017
Pascal Siakam,PF,5.20%,9.25,10.00,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25'',2016-2017
Wade Baldwin IV,PG,5.20%,9.00,9.75,6' 2.5'',6' 4'',8' 4'',201.8,6' 11.25'',2016-2017
Joel Bolomboy,PF,5.15%,9.00,10.25,6' 7.5'',6' 9'',8' 7.5'',224.4,7' 1.75'',2016-2017
Malcolm Brogdon,SG,5.40%,9.00,10.25,6' 3.75'',6' 5.5'',8' 2'',223.0,6' 10.5'',2016-2017
Marquese Chriss,PF,8.50%,9.00,9.00,6' 8.75'',6' 10'',8' 9'',233.0,7' 0.25'',2016-2017
Deyonta Davis,PF,9.70%,9.00,9.25,6' 9.25'',6' 10.5'',9' 0.5'',237.2,7' 2.5'',2016-2017
Dorian Finney-Smith,SF,6.45%,9.00,9.75,6' 6.5'',6' 7.75'',8' 9.5'',212.6,6' 11.75'',2016-2017
Daniel Hamilton,SG-SF,5.95%,9.00,8.50,6' 6.25'',6' 8'',8' 7.5'',197.0,6' 9'',2016-2017
Brice Johnson,PF,7.50%,9.00,8.25,6' 9'',6' 10.5'',8' 10.5'',208.6,7' 0.5'',2016-2017
Marcus Lee,PF-C,5.35%,9.00,9.00,6' 9'',6' 10.25'',8' 11.5'',211.0,7' 3'',2016-2017
Chinanu Onuaku,C,8.55%,9.00,8.00,6' 9'',6' 10'',9' 0.5'',245.2,7' 2.75'',2016-2017
Taurean Prince,SF,6.45%,9.00,8.50,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5'',2016-2017
Wayne Selden,SG,7.30%,9.00,9.25,6' 4.25'',6' 5.75'',8' 5'',232.4,6' 10.5'',2016-2017
Caleb Swanigan,PF,12.55%,9.00,10.25,6' 7.5'',6' 8.5'',8' 11'',246.6,7' 3.5'',2016-2017
Stephen Zimmerman,C,11.15%,9.00,9.00,6' 10.25'',6' 11.75'',9' 0.5'',234.0,7' 3.25'',2016-2017
Ron Baker,SG,7.85%,8.75,9.50,6' 3.25'',6' 4.25'',8' 1.5'',212.4,6' 9.75'',2016-2017
Jaylen Brown,SG-SF,5.05%,8.75,9.00,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75'',2016-2017
Justin Jackson,SF,7.60%,8.75,8.75,6' 7'',6' 8.25'',8' 7.5'',193.4,6' 10.75'',2016-2017
Damian Jones,C,6.55%,8.75,10.50,6' 10.25'',6' 11.5'',8' 11'',243.6,7' 3.75'',2016-2017
Skal Labissiere,PF-C,5.70%,8.75,9.00,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5'',2016-2017
Thon Maker,PF,6.05%,8.75,9.50,6' 11.75'',7' 0.75'',9' 2.5'',216.0,7' 3'',2016-2017
Patrick McCaw,PG-SG,4.70%,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10'',2016-2017
Gary Payton II,PG,3.95%,8.75,9.50,6' 2'',6' 3'',8' 3.5'',183.8,6' 8'',2016-2017
Malachi Richardson,SG-SF,7.00%,8.75,10.00,6' 4.75'',6' 6.25'',8' 5.5'',199.6,7' 0'',2016-2017
Jarrod Uthoff,PF,6.00%,8.75,9.00,6' 8.5'',6' 9.75'',8' 8'',214.4,6' 11.5'',2016-2017
Malik Beasley,SG,6.90%,8.50,9.00,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7'',2016-2017
Jaron Blossomgame,SF,5.25%,8.50,10.00,6' 6.25'',6' 7.25'',8' 6'',213.6,6' 10'',2016-2017
Elgin Cook,SF,6.35%,8.50,10.25,6' 5'',6' 6.25'',8' 4.5'',209.8,6' 10'',2016-2017
Cheick Diallo,PF,5.60%,8.50,9.75,6' 7.5'',6' 9'',8' 11.5'',218.6,7' 4.5'',2016-2017
Henry Ellenson,PF,11.20%,8.50,9.75,6' 10'',6' 11.5'',9' 0'',242.0,7' 2.25'',2016-2017
Josh Hart,SG,5.75%,8.50,9.25,6' 4'',6' 5.5'',8' 3.5'',203.6,6' 8.5'',2016-2017
Nigel Hayes,SF-PF,10.90%,8.50,9.50,6' 6.25'',6' 7.25'',8' 11.5'',245.0,7' 3'',2016-2017
Buddy Hield,SG,6.10%,8.50,9.00,6' 3.75'',6' 5'',8' 5'',212.4,6' 9.25'',2016-2017
Caris LeVert,SG,7.55%,8.50,9.25,6' 5.75'',6' 7'',8' 5'',191.0,6' 10'',2016-2017
Diamond Stone,C,12.85%,8.50,7.75,6' 9'',6' 10.25'',9' 0.5'',254.4,7' 2.75'',2016-2017
Denzel Valentine,SG-SF,9.20%,8.50,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75'',2016-2017
Isaiah Whitehead,PG-SG,9.25%,8.50,8.75,6' 3.25'',6' 4.5'',8' 4'',210.0,6' 8.75'',2016-2017
Isaiah Cousins,PG,4.80%,8.25,8.75,6' 3.25'',6' 4.5'',8' 2.5'',194.0,6' 6.25'',2016-2017
Kay Felder,PG,5.80%,8.25,8.50,5' 8.25'',5' 9.5'',7' 4.5'',177.2,6' 2.5'',2016-2017
Demetrius Jackson,PG,6.50%,8.25,9.00,6' 0'',6' 1.25'',7' 9'',193.8,6' 5.5'',2016-2017
Jake Layman,SF,7.10%,8.25,9.25,6' 8'',6' 9.25'',8' 6'',208.6,6' 9.25'',2016-2017
Malik Newman,SG,5.60%,8.25,9.25,6' 2.25'',6' 3.5'',8' 1.5'',182.2,6' 5.75'',2016-2017
Troy Williams,SF,10.00%,8.25,9.25,6' 5.75'',6' 6.75'',8' 6'',217.8,6' 8.25'',2016-2017
Kyle Wiltjer,PF,15.25%,8.25,9.50,6' 8.75'',6' 10'',8' 6.5'',242.8,7' 0.25'',2016-2017
Cat Barber,PG,4.50%,8.00,8.50,6' 1.5'',6' 2.75'',7' 11.5'',173.0,6' 5.5'',2016-2017
DeAndre Bembry,SG-SF,7.00%,8.00,9.25,6' 4.25'',6' 5.75'',8' 5'',206.6,6' 9.25'',2016-2017
Perry Ellis,PF,4.60%,8.00,8.50,6' 7'',6' 8.25'',8' 6'',217.8,6' 10.25'',2016-2017
Michael Gbinije,SG,5.40%,8.00,9.00,6' 5.5'',6' 6.75'',8' 5'',204.6,6' 7.5'',2016-2017
