Player,Round Number,Round Pick,Overall Pick,Year
Jim Johnson,7,9,94,1969
Danny Womack,7,10,149,1983
Charles Riley,7,7,66,1961
Gus Johnson,7,3,111,1975
Clinton Wheeler,7,12,150,1981
Keith Cleplicki,7,22,161,1985
Henry Carr,7,1,139,1987
Jamie Thompson,7,4,71,1967
Ron Heller,7,9,68,1961
Fred DeVaughn,7,6,109,1973
Ed Blair,7,3,50,1958
Johnny Britt,7,16,120,1976
Jerry Dunn,7,10,107,1972
Owen Lawson,7,4,51,1958
Greg Wittman,7,3,88,1969
Ronnie Leggette,7,14,152,1987
Dave Hamilton,7,13,98,1969
Eric Semisch,7,16,154,1987
Phil Collins,7,23,161,1982
Greg Nance,7,2,140,1981
Bob Hornstein,7,18,126,1974
Dave Reasor,7,7,85,1968
Steve Davidson,7,3,100,1972
Jarvis Reynolds,7,9,140,1978
Dave Edmunds,7,4,112,1975
Jerry Faulkner,7,8,116,1974
Tom Turner,7,13,121,1974
Richard Smith,7,21,159,1980
Al DeWitt,7,5,109,1976
Dennis Hogg,7,9,111,1971
Jim McKean,7,2,80,1968
Lorenzo Romar,7,3,141,1980
Lars Hansen,7,20,151,1977
Doug Smart,7,2,48,1959
Mike Helms,7,16,154,1982
Bob Woolard,7,1,54,1963
Roy Hodge,7,17,119,1970
Al Young,7,13,152,1985
Les Hanson,7,22,160,1980
Ron Perry,7,1,68,1967
Fred Brown,7,20,159,1983
Ren Watson,7,9,137,1979
Kent Edelin,7,1,140,1984
Lewis Latimore,7,21,159,1981
Steve Castellan,7,2,130,1979
Gary McLain,7,15,154,1985
Tom Sienkiewicz,7,7,145,1981
Joe Ryan,7,3,49,1959
Joe Kazanowski,7,7,146,1983
Tommy Springer,7,5,143,1980
Bob Bundy,7,10,95,1969
Dan Finch,7,9,63,1954
Darnell Haney,7,5,51,1959
Bill Hull,7,7,61,1954
Peter Williams,7,6,145,1983
Scott Adubato,7,5,143,1987
Sammy High,7,15,123,1974
Jack Ardon,7,1,53,1962
Mike Wacker,7,12,151,1985
Michael Anderson,7,9,148,1986
Howie Montgomery,7,7,59,1962
Julius Wayne,7,15,153,1981
Gene Knolle,7,3,105,1971
Jamie Dixon,7,12,150,1987
Barry Davis,7,10,114,1976
Raynard Davis,7,4,142,1987
Tyrone Branyan,7,18,146,1979
Albert Alamanza,7,4,63,1961
Frank Jones,7,14,118,1976
Mike Jackson,7,2,133,1977
Ed Jones,7,0,0,1950
Jay Norman,7,5,52,1958
Harry Silcox,7,0,0,1955
Sean Kerins,7,16,155,1984
Tony Bruin,7,23,162,1983
Greg Kohls,7,2,99,1972
Dirk Ewing,7,8,136,1979
Karl Godine,7,13,151,1980
Pete Harris,7,10,113,1973
Narvis Anderson,7,7,109,1970
Don Clemetson,7,3,56,1963
Jim Ramstead,7,4,63,1951
Ken Jones,7,4,132,1979
Rick Bernard,7,11,142,1978
Tom Weadock,7,9,140,1977
Billy Paultz,7,1,103,1970
Solly Walker,7,8,62,1954
Roy Reardon,7,5,64,1951
Tim Waterman,7,13,141,1979
Jim Fay,7,0,0,1955
Dan Kahler,7,0,0,1950
Bob Evans,7,15,154,1984
David Williams,7,20,158,1981
Ron Barrow,7,8,112,1976
Jasper Wilson,7,4,82,1968
Gene Phillips,7,17,119,1971
Charles Beasley,7,7,74,1967
John Brown,7,8,67,1951
Nate Hawthorne,7,15,118,1973
Jacque Hill,7,5,144,1983
Maurice Williams,7,21,159,1982
Paul Anderson,7,7,145,1980
Gordie Martin,7,8,61,1963
Tom Riach,7,1,60,1951
Ron Rankin,7,10,149,1986
Frank Card,7,10,77,1967
Michael Foster,7,6,144,1987
Duane Kendall,7,1,140,1986
Wendell Gibson,7,12,150,1982
Jim Strickland,7,7,135,1979
Jack Gilloon,7,17,148,1978
Scott Williams,7,16,154,1981
Charles Northup,7,0,0,1950
Marc Coleman,7,6,134,1979
Dick Gaines,7,6,54,1957
Carl Ervin,7,20,158,1980
Lou West,7,11,113,1970
Joe Pehanick,7,1,55,1954
Mike Jordan,7,5,107,1971
Steve Kenilvort,7,4,143,1986
Mike Stewart,7,17,120,1973
Fred Sobrero,7,1,49,1960
Doug Jemison,7,1,132,1978
David Lee,7,7,59,1964
Carl Boldt,7,2,50,1957
Steve Malovic,7,18,149,1978
Bob Brady,7,3,57,1954
Wayne Williams,7,3,141,1987
Bob Clarke,7,7,55,1960
Ken Bannister,7,17,156,1984
Curtis Pritchett,7,6,103,1972
Keith Bennett,7,17,156,1983
Hector Olivencia,7,19,150,1978
Chris Remly,7,23,162,1985
Bobby Lloyd,7,2,69,1967
Chip Harris,7,9,148,1984
Terry Cramer,7,17,155,1981
Claude English,7,8,110,1970
Fletcher Johnson,7,18,126,1975
William Franklin,7,13,110,1972
Bill Keller,7,2,87,1969
Curt Peterson,7,4,108,1976
Ron Jackson,7,21,160,1983
Chris Thomforde,7,11,96,1969
Steve Anstett,7,5,57,1964
Jim Bond,7,1,48,1958
Donnie Butcher,7,1,60,1961
Carlton Poole,7,12,114,1970
Herb Magee,7,9,62,1963
Victor Anger,7,18,157,1984
Dane Suttle,7,13,152,1983
Ollie Matson,7,19,147,1979
Ollie Matson,7,4,135,1978
Bob Sims,7,6,54,1960
Paul Little,7,15,154,1983
Bobby Willis,7,14,142,1979
Ron Brown,7,17,125,1974
Matt Waldron,7,14,152,1982
Walter Reason,7,21,152,1978
Pat Foley,7,7,92,1969
Valeri Tikhonenko,7,18,157,1986
Steve Woodside,7,2,141,1986
Dan Evans,7,4,143,1983
Don Smith,7,17,148,1977
David Brantley,7,5,144,1984
Gary Gatewood,7,13,152,1984
Jeff Acres,7,1,140,1985
Alvin Scott,7,5,136,1977
Al Boswell,7,17,125,1975
Joel Copeland,7,10,118,1974
Raymond Crenshaw,7,12,151,1984
Keith Williams,7,19,158,1983
Charlie Wallace,7,15,117,1970
Kevin Fitzgerald,7,5,113,1974
Ken Sidle,7,7,54,1958
Steve Skaggs,7,3,131,1979
Jerry Jackson,7,2,54,1964
Howie Jolliff,7,2,50,1960
Joe Price,7,11,150,1986
Jim Dolan,7,12,151,1986
Dan Bagley,7,0,0,1950
Fred Smiley,7,9,112,1973
Billy Reynolds,7,7,138,1977
Bob Grady,7,4,142,1982
Rod Robertson,7,3,141,1981
Rich Falk,7,9,61,1964
Mel Klein,7,8,67,1961
Mark Minderman,7,18,156,1981
Allen Rayhorn,7,19,157,1982
Billy Harris,7,12,115,1973
Curtis Ford,7,12,114,1971
Dick Dumas,7,5,83,1968
Jerry Corcoran,7,22,160,1987
Delonte Taylor,7,18,156,1982
Charles McMilliam,7,5,136,1978
Willie Davis,7,3,81,1968
Danny Davis,7,1,139,1981
Jay Neary,7,4,63,1966
Phil Ward,7,17,155,1982
Mike Giomi,7,9,147,1987
Ken Rohloff,7,6,59,1963
Ted Manning,7,2,61,1966
Eric Boyd,7,2,141,1985
Maurice McHartley,7,6,58,1964
Curtis Hunter,7,18,156,1987
Buzz Peterson,7,8,147,1985
Jeb Barlow,7,15,153,1982
Dave Colescott,7,2,140,1980
Stephen Previs,7,14,111,1972
Charlie Scott,7,4,106,1970
Larry Brown,7,2,55,1963
Doug Moe,7,4,52,1960
Andy Walker,7,7,111,1976
Scott Conant,7,1,132,1977
Richard Robinson,7,14,145,1977
Mike Dabich,7,1,60,1966
Johnny Brown,7,7,146,1986
Tim Garrett,7,6,145,1984
Willie Howard,7,8,139,1978
Ira Harge,7,4,57,1963
Ed Catchings,7,16,155,1985
Frank James,7,17,156,1985
Tony Smith,7,12,143,1978
Boyd Batts,7,6,110,1976
Elbert Miller,7,12,79,1967
Dennin Forest,7,18,149,1977
Andre Smith,7,4,142,1981
Milt Whitehead,7,0,0,1950
Gary Pember,7,13,144,1978
Ron Williams,7,19,157,1980
Arnold McDowell,7,16,154,1980
Keith Hilliard,7,22,160,1982
Russ Robinson,7,6,52,1959
Jeff Strong,7,21,160,1986
Kim Anderson,7,15,146,1978
Mark Browne,7,6,114,1974
Geoff Roberts,7,16,124,1974
Mike Jeffries,7,7,110,1973
Mark Coleman,7,22,161,1986
Ollie Shannon,7,4,106,1971
Eric Hill,7,7,109,1971
Tom Kondla,7,13,91,1968
Terry Kunze,7,5,58,1965
Phil Walker,7,13,117,1976
Tony Forch,7,11,149,1980
John Young,7,4,57,1965
O'Neal Weaver,7,0,0,1956
Kim Cooksey,7,15,154,1986
Larry Polec,7,16,155,1986
Peter Davis,7,9,117,1975
Mike Robinson,7,3,111,1974
Marv Copeland,7,3,105,1970
Robert Henderson,7,5,144,1986
Thad Gardner,7,3,141,1982
Pete Tillotson,7,6,53,1958
George Ferguson,7,3,51,1957
Leroy Berry,7,9,147,1980
Steve Fields,7,6,114,1975
Jeff Gehring,7,6,59,1965
Dave Zeller,7,2,61,1961
Jesse Campbell,7,18,122,1976
Tony Gattis,7,16,155,1983
Jerry Thurston,7,15,146,1977
Billy Smith,7,14,122,1974
Hunter Beckman,7,5,58,1963
Orby Arnold,7,7,53,1959
Mike Marshall,7,17,156,1986
Jeff Adkins,7,10,149,1985
Greg Manning,7,9,147,1981
James Morgan,7,6,108,1970
Jerry Ward,7,8,67,1966
Charles McNeil,7,6,65,1961
Don Turney,7,18,157,1985
Terrell Schlundt,7,9,148,1983
Dean Marquardt,7,9,147,1982
Robert Byrd,7,4,142,1980
Bob Wolf,7,3,70,1967
Mike Moore,7,14,117,1973
Mark Klein,7,12,116,1976
Stan Stewart,7,3,134,1978
Steve Smith,7,11,114,1973
Rick Adelman,7,1,79,1968
Ralph Vallott,7,15,119,1976
Ron Miller,7,3,55,1964
Vic Rouse,7,8,60,1964
Bobby Turner,7,12,150,1980
Jerry Bisbano,7,8,111,1973
Paul Poe,7,1,129,1979
Larry Newbold,7,6,84,1968
Joedy Gardner,7,4,143,1984
Bob Lynn,7,1,98,1972
Randy Schiff,7,13,152,1986
George Deehan,7,8,61,1965
Jene Grey,7,11,139,1979
John Bradley,7,4,56,1962
Terry Long,7,11,149,1982
Charles Naddaff,7,8,146,1980
Tracy Tripucka,7,11,108,1972
Bob McAteer,7,3,55,1962
Frank Comerford,7,0,0,1950
George Dempsey,7,9,68,1951
John Rinka,7,16,118,1970
James Greene,7,1,104,1973
John Duncan,7,6,108,1971
Mason Pope,7,4,52,1957
Mike Bernard,7,5,107,1970
Max Jameson,7,5,53,1957
Chuck Verderber,7,7,145,1982
Mike Flynn,7,5,113,1975
Jim Andrews,7,4,107,1973
Roger Newman,7,5,64,1961
Bernie Kauffman,7,5,53,1960
Lou Tsioropoulos,7,0,0,1953
Dale Barnstable,7,0,0,1950
Randy Reed,7,1,139,1982
Carl Gerlach,7,2,106,1976
Ed Head,7,10,69,1951
John Crawford,7,22,160,1981
Rick Suttle,7,2,110,1975
Alan Kelley,7,2,56,1954
Franjo Arapovic,7,21,159,1987
Herb Entzminger,7,7,138,1978
Robert Lewis,7,13,144,1977
John Columbo,7,3,142,1983
Shawn Leftwick,7,8,116,1975
Artis Gilmore,7,15,117,1971
Marvin Brown,7,9,106,1972
John Shinall,7,14,116,1970
Kevin Vesey,7,6,144,1981
Butch Wade,7,5,72,1967
Tony Brown,7,2,141,1983
Perry Range,7,5,143,1982
Ted Beach,7,3,62,1951
Bill Erickson,7,0,0,1950
Charles Parkes,7,14,92,1968
Dwayne Cruze,7,7,60,1965
Brian Kellerman,7,1,140,1983
Frank Judge,7,5,90,1969
Bill Brown,7,7,60,1963
Randy Martel,7,11,149,1981
Tom Seaman,7,23,161,1981
Richie Swartz,7,2,54,1962
Dennis Hrcka,7,9,87,1968
Dale Neel,7,2,55,1965
Danny Davis,7,16,118,1971
Keith Webster,7,15,153,1987
Bob Ferry,7,7,146,1985
Mark Mitchell,7,14,153,1986
Rowan Gomes,7,8,146,1987
Joe Hutton,7,0,0,1950
Jeff Claypool,7,14,99,1969
Roy Singleton,7,7,145,1987
John Comeaux,7,9,68,1966
Bruce Jenner,7,8,139,1977
Carl Pierce,7,1,139,1980
Jim DeWeese,7,10,141,1978
Tim Bassett,7,3,106,1973
Rod Hogue,7,13,116,1973
Charley Grote,7,4,50,1959
Ralph Dalton,7,3,142,1986
Ed Hopkins,7,14,145,1978
Bob Sharpenter,7,5,57,1962
Kenny Stone,7,17,155,1987
Dave Stoczynski,7,1,109,1974
Ron White,7,17,155,1980
Desi Barimore,7,12,151,1983
Jerry Pender,7,15,112,1972
Lon Hughey,7,3,62,1966
Gus Levett,7,6,60,1954
Mark Van Valkenburg,7,23,162,1984
Alton Lee Gipson,7,6,145,1985
Vince Martello,7,11,150,1984
Tony William,7,20,159,1984
Skip Young,7,10,112,1971
Gary Schull,7,6,65,1966
Mike Sneed,7,5,102,1972
Steve Balkun,7,6,137,1978
Bill Jones,7,12,90,1968
Brad Leaf,7,8,146,1982
Mike Smith,7,12,143,1977
Oscar Smith,7,11,89,1968
Bob Riddle,7,10,141,1977
Willie Woods,7,13,115,1970
Dale Moore,7,1,47,1959
Brad Warble,7,11,115,1976
Edward Davis,7,16,113,1972
Willie Somerset,7,3,56,1965
Clyde Arnold,7,8,60,1962
Steve Vandenberg,7,4,89,1969
Mike Lewis,7,10,88,1968
Bernie Janicki,7,4,58,1954
Hollis Miller,7,12,120,1975
Rich Congo,7,21,160,1984
Tom Bush,7,1,103,1971
John Pritchard,7,0,0,1949
Charles Hightower,7,18,156,1980
Bob Waldal,7,8,86,1968
Keith Gray,7,11,150,1985
Ron Bostic,7,3,134,1977
Billy Pleas,7,8,105,1972
Dick Brott,7,7,55,1957
Sid Ryen,7,6,65,1951
Lusia Harris,7,6,137,1977
Dave Mills,7,5,64,1966
Emmette Bryant,7,1,53,1964
Damon Goodwin,7,8,147,1986
Ken May,7,8,110,1971
Gordon Hatton,7,4,56,1964
John Johnson,7,16,144,1979
Joe Bergman,7,2,104,1970
Ken Bantum,7,3,142,1985
Fred Eydt,7,0,0,1952
Heyward Dotson,7,10,112,1970
Chet Forte,7,1,49,1957
John Azary,7,7,66,1951
Randy Johnson,7,8,146,1981
Eddie Hughes,7,2,140,1982
Larry Paige,7,16,147,1978
Cliff Shegogg,7,9,111,1970
Sonny Bustion,7,8,75,1967
Rob Gonzalez,7,8,147,1983
Ralph Brateris,7,14,116,1971
Mark Owen,7,14,153,1985
Tab Jackson,7,7,66,1966
Dave Kyle,7,11,142,1977
Glen McCants,7,6,145,1986
Horace Wyatt,7,10,148,1982
Wayne Croft,7,13,121,1975
Bobby Austin,7,20,158,1982
Mike Franklin,7,16,124,1975
Wayne Stevens,7,2,49,1958
Mike Eversley,7,5,133,1979
Richard Haenisch,7,22,161,1984
Ron Vanderschaaf,7,23,161,1987
Earvin Leavy,7,10,148,1987
Mike Robinson,7,5,143,1981
Jeff Tropf,7,12,140,1979
Barry McLeod,7,1,105,1976
Mark Simpson,7,10,149,1984
Maurice McDaniel,7,14,153,1983
Phil Seymore,7,6,144,1982
Craig Prosser,7,3,107,1976
Clarence Grier,7,13,151,1987
Dick Kolbert,7,11,78,1967
Montel Hatcher,7,11,149,1987
Gary Maloncon,7,4,143,1985
Tony Anderson,7,13,151,1982
Gig Sims,7,10,148,1980
Ralph Drollinger,7,17,121,1976
Greg Lee,7,7,115,1974
Tommy Curtis,7,9,117,1974
Larry Hollyfield,7,2,105,1973
Larry Farmer,7,5,108,1973
Bill Sweet,7,1,86,1969
Lynn Shackelford,7,6,91,1969
Edgar Lacey,7,9,76,1967
Gary Cunningham,7,6,58,1962
John Moore,7,0,0,1955
George Turner,7,14,153,1984
Butch Hays,7,2,141,1984
Michael Pitts,7,7,146,1984
Brady Allen,7,11,119,1974
Dan Wolters,7,1,54,1965
Dick Doughty,7,3,51,1960
Cliff Higgins,7,8,147,1984
Tommie Lipsey,7,9,113,1976
Mike Jackson,7,7,104,1972
Ricky Mixon,7,22,161,1983
Stan Ray,7,10,138,1979
Randy Smith,7,2,104,1971
Jaye Andrews,7,20,159,1985
Doug Richards,7,2,110,1974
Bernie Fryer,7,12,109,1972
Steve Kelly,7,11,113,1971
Kari Liimbo,7,12,97,1969
Rudy Fenderson,7,8,55,1958
Gene Gathers,7,13,115,1971
L.C. Bowen,7,8,93,1969
Paul Estergaard,7,5,59,1954
Frank Booker,7,2,140,1987
Joe Faine,7,13,151,1981
Tom Ivey,7,23,162,1986
Larry McKinney,7,14,152,1981
Clyde Dickey,7,4,112,1974
Barry Francisco,7,19,158,1984
Carl Fuller,7,6,73,1967
Dan Palombizio,7,20,159,1986
Georgi Glouchkov,7,9,148,1985
Dennis Van Zant,7,12,120,1974
Eddie Childress,7,16,119,1973
Gerald White,7,20,158,1987
Rich Valavicius,7,15,143,1979
Stan Pietkiewicz,7,2,133,1978
John Grochowalski,7,14,122,1975
Bill Higgins,7,1,109,1975
Ike Williams,7,10,118,1975
Alan Zahn,7,15,153,1980
Bob Ambler,7,2,61,1951
Jim Cathcart,7,0,0,1950
James Holliman,7,4,135,1977
Eddie Smith,7,19,158,1985
Robby Dosty,7,10,148,1981
Joe Nehls,7,14,152,1980
Bruce Anderson,7,4,101,1972
Leon Blevins,7,0,0,1950
Mario Elie,7,21,160,1985
Calvin Brown,7,16,147,1977
Wilbur Thomas,7,7,115,1975
Mike Phelps,7,5,144,1985
Lex Drum,7,11,150,1983
Larry Spicer,7,6,144,1980
Willie High,7,19,150,1977
Mark Gottfried,7,19,157,1987
Anthony Murray,7,20,151,1978
Joe Jakubick,7,3,142,1984
Nathaniel Barnett,7,11,119,1975
Lou Arko,7,0,0,1950
Bob Marske,7,0,0,1953
Ricky Kaminsky,6,4,47,1964
Bob Heim,6,1,46,1954
Tony Martin,6,7,123,1984
Ron Rivers,6,8,53,1954
Al Thresher,6,8,51,1964
Mel Coleman,6,8,79,1969
Tim Naegeli,6,23,137,1987
Tony Carr,6,20,135,1982
Tom Peck,6,6,92,1973
Ken Siebel,6,2,46,1963
George Gibson,6,19,129,1977
Tom Paulin,6,1,87,1976
Dave Parker,6,14,99,1970
Mike Neciase,6,6,91,1971
John Mahoney,6,0,0,1955
John Glover,6,5,85,1972
Terry Benton,6,4,84,1972
Larry Van Eman,6,5,48,1962
Norman Pott,6,6,51,1954
Marv Johnson,6,3,52,1951
Warren Salade,6,8,52,1963
Lance Ball,6,18,134,1984
Ken Cunningham,6,3,118,1980
Don Boven,6,0,0,1949
Tony Wilson,6,16,132,1983
Steve Cunningham,6,6,56,1966
John Givens,6,0,0,1950
Tom Lavelle,6,1,44,1964
Chris Harrison,6,16,132,1984
Sedale Threatt,6,23,139,1983
George Swyers,6,0,0,1955
Russell Todd,6,4,120,1983
Bob Benfield,6,5,60,1967
Jim McCormack,6,5,49,1963
Lee Patrone,6,3,53,1961
Tom Heywood,6,7,123,1983
Dwayne Scholten,6,14,128,1987
Otto Krieghauser,6,5,50,1954
Robert Fronk,6,14,129,1981
Kim Stewart,6,16,126,1978
Gordon Harris,6,12,67,1967
Bill Hanson,6,1,44,1962
Alvis Rogers,6,14,130,1983
Darrell Peterson,6,12,98,1976
Gil McGregor,6,4,89,1971
Curvan Lewis,6,2,112,1977
Ron Bell,6,13,123,1978
Ernie Wansley,6,17,127,1977
Russell Davis,6,4,90,1976
Bucky Keller,6,8,51,1962
Ernest Brock,6,6,49,1964
Gay Elmore,6,19,133,1987
Jim Miller,6,13,129,1985
Harold Jensen,6,7,121,1987
Chuck Everson,6,14,130,1986
John Jones,6,13,84,1969
Thorpe Weber,6,10,95,1971
Keith Thomas,6,7,57,1966
Jim Henry,6,4,42,1959
Jim Ove,6,8,57,1951
Bob Metcalf,6,0,0,1950
Ken Alston,6,5,95,1975
Greg Grant,6,16,132,1986
Leo Cunningham,6,10,125,1982
Bob Lauriski,6,11,97,1973
Troy Collier,6,5,48,1964
Karl Bakowski,6,1,116,1981
Coby Leavitt,6,19,134,1980
George Fisher,6,1,51,1966
Glen Duggins,6,1,50,1951
Bruce Vanley,6,10,126,1984
Eldridge Webb,6,1,65,1968
Dave Voss,6,9,59,1961
Bobby Goodall,6,2,42,1960
John Arthurs,6,2,73,1969
Jim Kerwin,6,1,45,1963
Larry Jeffries,6,4,75,1969
Doug Hess,6,7,92,1970
Mitch Edwards,6,5,49,1965
Quintan Gates,6,21,135,1987
Kent Lockhart,6,3,119,1985
Roshern Arnie,6,16,131,1981
Quentin Anderson,6,21,137,1985
William Johnson,6,11,101,1975
Calvin Martin,6,5,69,1968
Carlton Cooper,6,16,132,1985
Jim Krivacs,6,4,114,1978
Raymond Downs,6,4,44,1957
Wayne Golden,6,6,116,1977
Bobby Joe Edmonds,6,3,46,1964
Fred Jenkins,6,15,129,1987
Willie Burton,6,9,125,1984
Jim England,6,15,100,1971
Red Robbins,6,9,59,1966
Charles Rayne,6,8,124,1985
Howard Triche,6,3,117,1987
Dale Shackelford,6,19,127,1979
Vaughn Harper,6,2,57,1967
Mike Allocco,6,13,99,1973
Mike Reddick,6,20,136,1984
Greg Guye,6,9,117,1979
Marvin Polnick,6,15,100,1970
Keith Jones,6,22,138,1984
Duane Barnett,6,5,91,1976
Ed Schweitzer,6,9,95,1976
Art Collins,6,17,103,1976
Terry Mikan,6,14,104,1974
Robert Rosier,6,16,106,1974
Ricky Hooker,6,20,136,1983
David Vann,6,14,129,1982
Bernard Rencher,6,5,120,1980
Greg Cleuss,6,11,91,1972
James Davis,6,7,52,1954
Al McGuire,6,6,55,1951
Al Inniss,6,1,40,1958
Walt Acamushko,6,2,42,1957
Vernon Stokes,6,0,0,1953
Jim Luisi,6,7,56,1951
Alvin Jackson,6,3,118,1982
Collie Davis,6,16,124,1979
Dick Goldberg,6,6,56,1961
Nick Revon,6,9,54,1954
Kevin Lewis,6,9,125,1986
Sam Hervey,6,7,97,1974
Carroll Hooser,6,2,52,1966
Steve Smith,6,6,114,1979
Buff Burrell,6,4,94,1975
Clint Chapman,6,13,103,1975
Mark Westra,6,1,91,1974
Daniel Anderson,6,2,92,1974
Don Eby,6,0,0,1953
Curtis Kitchen,6,6,122,1986
Vince Reynolds,6,1,116,1982
Guy Mackner,6,10,81,1969
Jim Strickland,6,20,135,1980
Golie Augustus,6,1,111,1978
Mike Dunleavy,6,13,99,1976
Ricky Brown,6,5,119,1987
James Floyd,6,15,101,1973
Andre McCloud,6,20,136,1986
Bucky O'Brien,6,8,118,1977
Mike Collins,6,7,87,1972
Theo Cruz,6,8,52,1965
Londale Theus,6,7,122,1980
Eddie Joe Chavez,6,3,113,1978
Mike Stewart,6,15,95,1972
Gene Shields,6,3,47,1963
Stu Inman,6,0,0,1950
Tony Styles,6,15,105,1975
Mike Quick,6,7,93,1973
Buzz Hartnett,6,12,122,1978
Lorenzo Duncan,6,12,128,1986
Jim Humphreys,6,5,45,1957
Billy Morris,6,13,103,1974
Robert Cole,6,11,66,1967
Jack Mimitz,6,6,45,1958
Jeff Clark,6,8,123,1982
Joe Spratt,6,3,41,1959
Jack Phelan,6,16,126,1977
Jim McClennan,6,2,41,1958
Donald Carroll,6,10,126,1983
Donald Cooper,6,21,136,1980
Ed Czernota,6,2,82,1972
Roy Pace,6,12,122,1977
Don Parsons,6,0,0,1950
Tom Bethea,6,11,127,1983
John Schweitz,6,23,138,1982
Aron Stewart,6,3,93,1974
Garry Reist,6,7,92,1971
Larry Phillips,6,2,45,1964
Brian Walker,6,13,128,1981
Tom Scheffler,6,7,117,1977
John Garrett,6,17,107,1975
Tim Evans,6,21,131,1978
Bob Miscevicious,6,2,112,1978
Bob Cooper,6,9,119,1977
Jim Larranga,6,11,96,1971
Vinnie Ernst,6,9,53,1963
Bob Roma,6,18,126,1979
Joe Heiser,6,4,68,1968
Ed Hummer,6,9,64,1967
Jim Brangan,6,7,47,1960
Lawrence Johnson,6,5,95,1974
Clyde Vaughn,6,1,117,1984
Terry Knight,6,17,125,1979
Don Hennon,6,1,39,1959
Wally Wright,6,16,96,1972
Randy Owens,6,9,124,1980
Anthony Frederick,6,17,133,1986
Ray Ellis,6,12,120,1979
Perry Bromwell,6,4,118,1987
Jeff Newman,6,5,55,1966
Myron Jordan,6,18,128,1977
John Errecart,6,11,101,1974
Ken Stanley,6,2,45,1962
Leon Clements,6,7,51,1965
Neal Jurgensen,6,3,89,1973
Vic Bartolome,6,2,87,1970
Jim Jarvis,6,1,45,1965
Jay Carty,6,3,46,1962
Chris Harper,6,12,128,1985
Dan Hartshorne,6,15,123,1979
Gerald Willett,6,7,97,1975
Sam Potter,6,18,134,1985
Antonio Martin,6,8,123,1980
Oliver Purnell,6,6,96,1975
Ernie Hill,6,4,119,1980
Willy Watson,6,16,101,1970
Charlie Hunter,6,8,58,1966
Lyndon Lee,6,7,47,1957
Joe King,6,4,43,1958
Wayne Glasgow,6,0,0,1950
Carter Scott,6,11,126,1981
Bill Andreas,6,14,104,1975
Wardell Jackson,6,8,98,1974
Tim Kempton,6,8,124,1986
Wayne Waggoner,6,4,119,1982
Jim Stack,6,1,117,1983
Billy McKinney,6,5,115,1977
Jim Pitts,6,3,53,1966
Bill McCoy,6,4,90,1973
Pete Harris,6,20,135,1981
Joe Manning,6,4,112,1979
Michael Thomas,6,23,138,1981
Bobby Potts,6,19,134,1982
Larry Jackson,6,16,106,1975
Phil Spence,6,6,92,1976
Joe Cafferky,6,17,103,1973
John Maglio,6,1,41,1957
Warren Cartier,6,0,0,1950
Allen Spruill,6,8,98,1975
Larry Smith,6,12,102,1975
Lonnie Kluttz,6,11,96,1970
Warren Davis,6,2,46,1965
Matt Doherty,6,3,119,1984
Chris Brust,6,16,131,1982
Mike Pepper,6,8,123,1981
Bruce Buckley,6,15,125,1977
Dick Grubar,6,12,83,1969
Jim Hudock,6,7,50,1962
York Larese,6,6,46,1960
Odis Boddie,6,22,137,1980
Kenny Evans,6,23,138,1980
Gene Cunningham,6,18,104,1976
Jim Signorile,6,17,102,1970
Kelvin Hicks,6,13,128,1980
Oscar Taylor,6,17,133,1983
Kenny Travis,6,1,115,1987
Gilbert Wilburn,6,3,119,1986
Ernest Patterson,6,5,121,1983
Jaime Pena,6,18,133,1982
John Williamson,6,10,96,1973
Billy Joe Price,6,5,55,1961
Kelvin Scarborough,6,9,123,1987
Everette Jefferson,6,15,130,1980
Phil Abney,6,5,113,1979
Billy Allen,6,9,125,1983
B. B. Fontenet,6,7,122,1982
Pete Padgett,6,2,88,1976
Gary Graham,6,12,126,1987
John Flowers,6,10,126,1986
Tony Smith,6,7,115,1979
Curtis Moore,6,15,131,1985
Herschell Turner,6,5,45,1960
Jim Buchanan,6,0,0,1952
Glenn Green,6,13,129,1983
Grover Woolard,6,21,131,1977
Jay Bruchak,6,11,126,1982
John Novey,6,9,94,1971
Harry Davis,6,16,102,1976
Garcia Hopkins,6,20,128,1979
Jeff Tipton,6,2,118,1984
Jim Day,6,3,88,1971
Ed Noe,6,4,47,1962
Dave Keleher,6,8,47,1958
Tony Hampton,6,13,129,1986
Roy McPipe,6,12,102,1974
Bill Brickhouse,6,13,98,1971
Derrick Pope,6,15,131,1983
John Blair,6,17,132,1981
Malcolm Thomas,6,5,121,1985
Gary Link,6,9,99,1974
Ray Carey,6,7,50,1964
Howard Sessums,6,0,0,1955
Danny Williams,6,3,93,1975
Johnny Neumann,6,12,98,1973
Gary Holmes,6,9,124,1982
Dave Winey,6,6,116,1978
Osborne Lockhart,6,20,130,1978
Jerry Graycraft,6,10,120,1977
Derek Perry,6,8,124,1983
Antoine Joubert,6,20,134,1987
Butch Wade,6,1,117,1986
Mack Suprunowicz,6,0,0,1950
John Shoemaker,6,9,119,1978
Archie Aldridge,6,15,125,1978
Chuck Goodyear,6,3,113,1977
Earl Walker,6,6,122,1985
Phillip Haynes,6,5,121,1984
Doug Holcomb,6,14,94,1972
Jim Town,6,20,130,1977
Herman Veal,6,12,128,1984
Al Santio,6,6,50,1963
Bob McDonald,6,7,57,1961
