Player,Round Number,Round Pick,Overall Pick,Year
Curtis Carter,15,6,222,1971
William Chatmon,15,2,218,1971
James Fleming,15,5,221,1971
Dave Hicks,15,1,101,1965
Bob Mahland,14,1,95,1962
Marv Schmitt,14,1,180,1969
Ray Golson,14,6,186,1972
Dave Carr,14,3,174,1968
Jim Sutherland,14,6,147,1967
Bill Blair,14,2,97,1964
Frank Loteridge,14,5,208,1970
Jim Harter,14,2,105,1966
Larry Franks,14,4,100,1965
George Hicker,14,9,180,1968
Bill Boight,14,4,183,1969
Mack Calvin,14,8,187,1969
Jim Hanna,14,2,89,1960
Charles Core,14,5,176,1968
John Tolbert,14,5,146,1967
Paul Kelley,14,1,181,1972
Ollie Carter,14,1,104,1966
Ron Gilliam,14,2,190,1973
Perry Johnson,14,9,188,1969
John Harlow,14,6,177,1968
Paul Mickey,14,1,142,1967
Rich Travis,14,7,186,1969
Andrew Pettes,14,7,187,1972
Mike Dahl,14,6,185,1969
Jerry Pettway,14,3,144,1967
Lavelle Langston,14,1,83,1957
Mike Williams,14,10,213,1970
Bobby Lewis,14,1,172,1968
Greg Corson,14,2,182,1972
Rudolph Peele,14,4,211,1971
Cleveland Hill,14,5,185,1972
Ron Sanford,14,9,212,1970
Jerry Conley,14,3,182,1969
Larry Chaney,14,1,88,1960
Jack Israel,14,1,83,1959
Bob Allen,14,3,183,1972
Don Tomlinson,14,6,209,1970
Wayne Brabender,14,4,145,1967
Pete Gent,14,1,96,1964
Ernie Johnson,14,1,189,1973
Paul Funkhouser,14,8,211,1970
Howard White,14,4,192,1973
Richard Dixon,14,7,214,1971
Bill Engressor,14,1,105,1961
Don Beeson,14,4,207,1970
Laymon Stewart,14,2,181,1969
Bill Raftery,14,1,82,1963
Aubrey Nash,14,4,184,1972
Art Davis,14,5,212,1971
Rick Williams,14,5,193,1973
Chad Calabria,14,7,210,1970
Bubbles Harris,14,1,208,1971
Jack Morgenthal,14,2,98,1965
Keith Hockstein,14,8,179,1968
Jack O'Connor,14,8,215,1971
Don Whitehead,14,2,143,1967
Charles Mitchell,14,3,191,1973
Ernest Sims,14,4,175,1968
Jim Newcomb,14,1,84,1958
Ray Lavender,14,2,209,1971
Terry Page,14,3,99,1965
George Jackson,14,9,216,1971
Tom Youngdale,14,10,181,1968
Bob Scuddelari,14,0,0,1955
Wilky Gilmore,14,2,96,1962
Carl Bouldin,14,2,106,1961
Gene Roberson,14,3,210,1971
Ken Booker,14,6,213,1971
Mike Warren,14,2,173,1968
Mike Heckman,14,5,184,1969
Randy Smith,14,2,205,1970
Clyde Oatis,14,1,204,1970
Jerry Rook,14,1,97,1965
Andy Jennings,14,3,206,1970
John Godfrey,14,7,178,1968
Willie Roberson,13,7,202,1971
Allen McManus,13,4,197,1970
Henry Dooley,13,0,0,1955
Garry Elliott,13,9,202,1970
Pete Smith,13,2,197,1971
Doug Moon,13,1,94,1964
Mallory Chestnutt,13,10,178,1969
Larry Morris,13,1,175,1972
Rich Parks,13,3,94,1965
Andy White,13,1,169,1969
Ron Dorsey,13,9,204,1971
Rudy Bogad,13,4,164,1968
Joe Ramsey,13,2,93,1965
Frank Standard,13,9,169,1968
Lyn Burkholder,13,1,134,1967
Bill Thompson,13,11,179,1969
Kelly Utley,13,5,179,1972
Bob Burrow,13,3,171,1969
Carlos Ogden,13,2,162,1968
John Moates,13,5,138,1967
Art Stephenson,13,8,168,1968
Dennis McGovern,13,1,92,1965
Herm Gilliam,13,3,163,1968
Kent Scott,13,3,177,1972
Harry Lozon,13,1,194,1970
Dick Furry,13,2,86,1960
John Schroeder,13,7,140,1967
Charles Bloodworth,13,8,201,1970
James Wyatt,13,9,177,1969
Hank Commodore,13,8,203,1971
Dan Debardabi,13,10,203,1970
Lee Osgood,13,2,170,1969
George Mack,13,6,139,1967
Kim Huband,13,2,176,1972
Bob Bennett,13,1,101,1966
Rick Kirkland,13,4,172,1969
Alex Boyd,13,6,199,1970
Leroy Chalk,13,6,201,1971
Chester Davis,13,5,187,1973
Scott Koelzer,13,6,188,1973
Harvey Mumford,13,7,167,1968
Tom Storm,13,3,136,1967
Clair McRoberts,13,2,103,1961
Mel Northway,13,4,95,1965
Matthew Aitch,13,2,135,1967
Ed Jenkins,13,3,198,1971
Bill Tindall,13,5,165,1968
John Milhoan,13,1,85,1960
Bob Chlupsa,13,8,141,1967
Mike Krawzyk,13,4,178,1972
Howard Stacy,13,3,104,1961
Jerry DuPont,13,2,83,1958
Marshall Evans,13,1,161,1968
Tom Kennedy,13,1,93,1962
Jim Crawford,13,1,183,1973
Ned Jennings,13,1,102,1961
Earl Seyfert,13,10,170,1968
Pierre Russell,13,12,207,1971
Al Lopes,13,3,103,1966
Gary Jones,13,4,137,1967
Lee McCollough,13,4,199,1971
Larry Gray,13,3,196,1970
Ken Morehead,13,6,166,1968
Larry Duckworth,13,11,206,1971
John Pennebacker,13,3,185,1973
Fred Carpenter,13,7,200,1970
Ernest Hardy,13,2,195,1970
Lee Hopfenspirger,13,3,87,1960
Dwayne Smith,13,1,81,1959
Cecil Tuttle,13,2,95,1964
Joe Holup,13,1,100,1954
Jerry Alcom,13,1,82,1958
Mike Barr,13,6,180,1972
Bobby Jones,13,1,196,1971
Ed Goode,13,10,205,1971
Ron Crosswhite,13,5,200,1971
Jerry Szachara,13,1,80,1963
Gordon McFarland,13,2,81,1963
Dick Barton,13,8,176,1969
Pat Hobard,13,11,171,1968
Bob Vartanian,13,2,184,1973
Kalevi Sarkalahti,13,4,186,1973
John Nicoll,13,2,82,1959
Nick Aloi,13,2,102,1966
Billy Evans,13,7,175,1969
Ted Johnson,13,6,174,1969
Joe McBride,13,5,173,1969
Kevin Wilson,13,5,198,1970
Jerry Carlton,13,2,94,1962
Oliver Jones,13,5,96,1965
Ed Romanoff,13,1,82,1957
Fred Jones,12,4,93,1964
