Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Draft Participant,Combine Participant,All Rookie Team,Overall Pick
1438,Kareem Rush,2002-03,22,LAL,NBA,-0.6,76,0,872,96,244,77,176,19,68,16,23,26,68,94,68,10,11,63,71,227,0.39,0.44,0.28,0.43,0.7,0.45,1,1,False,20
1439,Collin Sexton,2018-19,20,CLE,NBA,-0.6,82,72,2605,519,1206,400,910,119,296,214,255,57,179,236,243,44,6,185,186,1371,0.43,0.44,0.4,0.48,0.84,0.52,1,1,True,8
1441,Marcus Fizer,2000-01,22,CHI,NBA,-0.7,72,13,1580,278,646,268,607,10,39,117,161,76,237,313,76,30,19,124,175,683,0.43,0.44,0.26,0.44,0.73,0.48,1,0,True,4
1442,Gary Harris,2014-15,20,DEN,NBA,-0.7,55,6,719,66,217,45,114,21,103,35,47,21,43,64,29,39,7,38,71,188,0.3,0.4,0.2,0.35,0.75,0.4,1,1,False,19
1443,Josh Jackson,2017-18,20,PHO,NBA,-0.7,77,35,1959,389,932,332,715,57,217,177,279,95,256,351,119,80,35,146,218,1012,0.42,0.46,0.26,0.45,0.63,0.48,1,0,True,4
1444,Zach LaVine,2014-15,19,MIN,NBA,-0.7,77,40,1902,286,677,229,510,57,167,149,177,27,187,214,276,54,10,193,158,778,0.42,0.45,0.34,0.47,0.84,0.52,1,1,True,13
1448,Rashad Vaughn,2015-16,19,MIL,NBA,-0.8,70,6,1001,81,266,38,119,43,147,12,15,11,77,88,39,29,16,28,73,217,0.31,0.32,0.29,0.39,0.8,0.4,1,1,False,17
1449,Isaiah Whitehead,2016-17,21,BRK,NBA,-0.8,73,26,1643,204,508,160,359,44,149,91,113,32,152,184,192,42,36,142,175,543,0.4,0.45,0.3,0.45,0.81,0.49,1,1,False,42
1450,Jamal Crawford,2000-01,20,CHI,NBA,-0.9,61,8,1050,107,304,66,187,41,117,27,34,9,80,89,141,43,14,85,68,282,0.35,0.35,0.35,0.42,0.79,0.44,1,1,False,8
1451,Frank Ntilikina,2017-18,19,NYK,NBA,-0.9,78,9,1706,182,500,132,343,50,157,49,68,37,140,177,250,65,18,131,181,463,0.36,0.39,0.32,0.41,0.72,0.44,1,0,False,8
1452,Nikoloz Tskitishvili,2002-03,19,DEN,NBA,-1.0,81,16,1320,115,393,78,241,37,152,48,65,64,117,181,91,31,29,84,136,315,0.29,0.32,0.24,0.34,0.74,0.37,1,0,False,5
1454,Austin Rivers,2012-13,20,NOH,NBA,-1.1,61,26,1418,145,390,117,304,28,86,59,108,16,93,109,127,26,9,74,122,377,0.37,0.39,0.33,0.41,0.55,0.43,1,1,False,10
1457,Adam Morrison,2006-07,22,CHA,NBA,-1.5,78,23,2326,355,944,268,686,87,258,120,169,54,176,230,163,28,6,130,179,917,0.38,0.39,0.34,0.42,0.71,0.45,1,1,True,3
1458,Emmanuel Mudiay,2015-16,19,DEN,NBA,-2.1,68,66,2068,329,905,255,673,74,232,140,209,32,200,232,372,65,35,217,141,872,0.36,0.38,0.32,0.4,0.67,0.44,1,0,True,7
