Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Draft Participant,Combine Participant,All Rookie Team,Overall Pick
12,Greg Monroe,2010-11,20,DET,NBA,6.6,80,48,2222,303,550,303,549,0,1,145,233,248,353,601,105,93,45,81,196,751,0.55,0.55,0.0,0.55,0.62,0.58,1,1,True,7
13,Luis Scola,2007-08,27,HOU,NBA,6.5,82,39,2024,345,670,345,667,0,3,157,235,174,351,525,106,60,19,105,235,847,0.52,0.52,0.0,0.52,0.67,0.55,1,0,True,55
14,Marc Gasol,2008-09,24,MEM,NBA,6.4,82,75,2521,350,661,350,660,0,1,275,375,201,404,605,143,63,90,164,265,975,0.53,0.53,0.0,0.53,0.73,0.59,1,0,True,48
15,Chris Bosh,2003-04,19,TOR,NBA,6.2,75,63,2510,327,712,322,698,5,14,202,288,191,366,557,78,59,106,107,215,861,0.46,0.46,0.36,0.46,0.7,0.51,1,1,True,4
16,Amar'e Stoudemire,2002-03,20,PHO,NBA,6.2,82,71,2570,392,830,390,820,2,10,320,484,250,471,721,78,62,87,189,269,1106,0.47,0.48,0.2,0.47,0.66,0.53,1,1,False,9
17,Carmelo Anthony,2003-04,19,DEN,NBA,6.1,82,82,2995,624,1465,555,1251,69,214,408,525,183,315,498,227,97,41,247,225,1725,0.43,0.44,0.32,0.45,0.78,0.51,1,1,True,3
18,Anthony Davis,2012-13,19,NOH,NBA,6.1,64,60,1846,349,676,349,670,0,6,169,225,165,357,522,63,75,112,89,158,867,0.52,0.52,0.0,0.52,0.75,0.56,1,1,True,1
20,Mitchell Robinson,2018-19,20,NYK,NBA,6.1,66,19,1360,202,291,202,291,0,0,81,135,177,246,423,37,52,161,35,217,485,0.69,0.69,,0.69,0.6,0.69,1,0,True,36
21,Carlos Boozer,2002-03,21,CLE,NBA,5.9,81,54,2049,331,618,331,617,0,1,148,192,202,407,609,106,59,50,103,224,810,0.54,0.54,0.0,0.54,0.77,0.58,1,1,True,34
22,Deandre Ayton,2018-19,20,PHO,NBA,5.8,71,70,2183,509,870,509,866,0,4,141,189,223,506,729,125,61,67,126,209,1159,0.59,0.59,0.0,0.59,0.75,0.61,1,0,True,1
23,Damian Lillard,2012-13,22,POR,NBA,5.8,82,82,3167,553,1288,368,785,185,503,271,321,42,215,257,531,74,19,243,172,1562,0.43,0.47,0.37,0.5,0.84,0.55,1,1,True,6
24,Brook Lopez,2008-09,20,NJN,NBA,5.8,82,75,2501,448,844,448,842,0,2,172,217,225,440,665,86,44,151,147,257,1068,0.53,0.53,0.0,0.53,0.79,0.57,1,1,True,10
27,Andrew Bogut,2005-06,21,MIL,NBA,5.5,82,77,2348,323,606,323,603,0,3,122,194,189,384,573,192,49,68,125,259,768,0.53,0.54,0.0,0.53,0.63,0.56,1,1,True,1
28,Al Horford,2007-08,21,ATL,NBA,5.5,81,77,2540,333,668,333,663,0,5,155,212,248,537,785,124,60,76,137,267,821,0.5,0.5,0.0,0.5,0.73,0.54,1,1,True,3
29,Kawhi Leonard,2011-12,20,SAS,NBA,5.5,64,39,1534,199,404,158,295,41,109,68,88,104,223,327,70,85,24,44,88,507,0.49,0.54,0.38,0.54,0.77,0.57,1,1,True,15
30,John Collins,2017-18,20,ATL,NBA,5.4,74,26,1785,314,545,298,498,16,47,133,186,176,365,541,98,47,80,105,215,777,0.58,0.6,0.34,0.59,0.72,0.62,1,1,True,131
30,John Collins,2017-18,20,ATL,NBA,5.4,74,26,1785,314,545,298,498,16,47,133,186,176,365,541,98,47,80,105,215,777,0.58,0.6,0.34,0.59,0.72,0.62,1,1,True,19
31,Tyreke Evans,2009-10,20,SAC,NBA,5.4,72,72,2677,533,1165,497,1024,36,141,348,465,66,314,380,414,109,26,216,204,1450,0.46,0.49,0.26,0.47,0.75,0.53,1,1,True,4
32,Landry Fields,2010-11,22,NYK,NBA,5.3,82,81,2541,299,602,213,383,86,219,113,147,105,416,521,155,80,17,107,114,797,0.5,0.56,0.39,0.57,0.77,0.6,1,0,True,39
33,Kevin Love,2008-09,20,MIN,NBA,5.3,81,37,2048,316,688,314,669,2,19,265,336,274,460,734,84,35,50,118,205,899,0.46,0.47,0.11,0.46,0.79,0.54,1,1,True,5
34,Mike Miller,2000-01,20,ORL,NBA,5.3,82,62,2390,368,845,220,481,148,364,91,128,66,261,327,140,51,19,97,200,975,0.44,0.46,0.41,0.52,0.71,0.54,1,0,True,5
35,Mario Chalmers,2008-09,22,MIA,NBA,5.2,82,82,2626,278,662,164,351,114,311,148,193,37,191,228,403,160,8,165,240,818,0.42,0.47,0.37,0.51,0.77,0.55,1,0,True,34
36,Donovan Mitchell,2017-18,21,UTA,NBA,5.2,79,71,2638,595,1362,408,812,187,550,239,297,52,244,296,291,118,27,215,213,1616,0.44,0.5,0.34,0.51,0.81,0.54,1,1,True,13
37,D.J. Augustin,2008-09,21,CHA,NBA,5.1,72,12,1908,267,621,159,375,108,246,208,233,17,116,133,250,42,2,119,140,850,0.43,0.42,0.44,0.52,0.89,0.59,1,1,False,9
38,Caron Butler,2002-03,22,MIA,NBA,5.1,78,78,2858,429,1032,395,925,34,107,309,375,135,262,397,213,137,31,192,230,1201,0.42,0.43,0.32,0.43,0.82,0.5,1,1,True,10
39,Danny Granger,2005-06,22,IND,NBA,5.1,78,17,1765,221,478,191,385,30,93,115,148,131,253,384,90,58,62,80,211,587,0.46,0.5,0.32,0.49,0.78,0.54,1,1,True,17
40,LeBron James,2003-04,19,CLE,NBA,5.1,79,79,3122,622,1492,559,1275,63,217,347,460,99,333,432,465,130,58,273,149,1654,0.42,0.44,0.29,0.44,0.75,0.49,1,1,True,1
43,Derrick Rose,2008-09,20,CHI,NBA,4.9,81,80,3000,574,1208,558,1136,16,72,197,250,96,221,317,512,66,18,202,125,1361,0.48,0.49,0.22,0.48,0.79,0.52,1,1,True,1
44,Shane Battier,2001-02,23,MEM,NBA,4.8,78,78,3097,412,961,309,685,103,276,198,283,180,238,418,216,121,81,155,215,1125,0.43,0.45,0.37,0.48,0.7,0.52,1,1,True,6
46,Brandon Roy,2006-07,22,POR,NBA,4.8,57,55,2015,349,765,294,619,55,146,202,241,58,192,250,230,67,10,116,139,955,0.46,0.48,0.38,0.49,0.84,0.55,1,1,True,6
47,Stephen Curry,2009-10,21,GSW,NBA,4.7,80,77,2896,528,1143,362,763,166,380,177,200,48,308,356,472,152,19,243,252,1399,0.46,0.47,0.44,0.54,0.89,0.57,1,1,True,7
48,Taj Gibson,2009-10,24,CHI,NBA,4.7,82,70,2204,311,629,311,629,0,0,113,175,226,385,611,70,50,104,114,282,735,0.49,0.49,,0.49,0.65,0.52,1,1,True,26
49,Richard Jefferson,2001-02,21,NJN,NBA,4.7,79,9,1917,270,591,257,535,13,56,189,265,85,208,293,140,64,48,107,211,742,0.46,0.48,0.23,0.47,0.71,0.52,1,1,True,13
50,Paul Millsap,2006-07,21,UTA,NBA,4.7,82,1,1472,209,398,208,395,1,3,140,208,183,240,423,62,67,74,94,236,559,0.53,0.53,0.33,0.53,0.67,0.57,1,1,True,47
51,Mason Plumlee,2013-14,23,BRK,NBA,4.7,70,22,1275,199,302,199,299,0,3,122,195,99,209,308,60,49,55,77,171,520,0.66,0.67,0.0,0.66,0.63,0.67,1,1,True,22
52,DeJuan Blair,2009-10,20,SAS,NBA,4.6,82,23,1494,275,495,275,493,0,2,88,161,200,326,526,65,50,39,112,224,638,0.56,0.56,0.0,0.56,0.55,0.56,1,1,True,37
53,Josh Childress,2004-05,21,ATL,NBA,4.6,80,44,2376,302,642,289,586,13,56,190,231,195,287,482,151,74,35,106,184,807,0.47,0.49,0.23,0.48,0.82,0.54,1,1,True,6
54,Kenneth Faried,2011-12,22,DEN,NBA,4.6,46,39,1037,181,309,181,309,0,0,109,164,142,210,352,36,34,47,54,116,471,0.59,0.59,,0.59,0.67,0.62,1,1,True,22
55,Eric Gordon,2008-09,20,LAC,NBA,4.6,78,65,2677,411,901,280,564,131,337,299,350,45,156,201,215,78,35,164,172,1252,0.46,0.5,0.39,0.53,0.85,0.59,1,1,True,7
57,Greg Oden,2008-09,21,POR,NBA,4.6,61,39,1314,198,351,198,351,0,0,144,226,169,255,424,31,25,69,87,238,540,0.56,0.56,,0.56,0.64,0.6,1,1,False,1
58,Dwyane Wade,2003-04,22,MIA,NBA,4.6,61,56,2126,371,798,355,745,16,53,233,312,85,162,247,275,86,34,196,140,991,0.47,0.48,0.3,0.48,0.75,0.53,1,1,True,5
59,Andre Drummond,2012-13,19,DET,NBA,4.5,60,10,1243,208,342,207,340,1,2,59,159,169,288,457,30,59,95,57,144,476,0.61,0.61,0.5,0.61,0.37,0.58,1,1,True,9
60,James Harden,2009-10,20,OKC,NBA,4.5,76,0,1738,233,578,140,330,93,248,194,240,47,197,244,137,80,20,106,200,753,0.4,0.42,0.38,0.48,0.81,0.55,1,1,True,3
61,Thaddeus Young,2007-08,19,PHI,NBA,4.5,74,22,1554,264,490,258,471,6,19,76,103,120,192,312,58,73,8,64,126,610,0.54,0.55,0.32,0.55,0.74,0.57,1,1,True,12
62,Jonas Jerebko,2009-10,22,DET,NBA,4.4,80,73,2232,290,603,254,488,36,115,125,176,194,284,478,58,79,29,82,230,741,0.48,0.52,0.31,0.51,0.71,0.55,1,0,True,39
64,Courtney Lee,2008-09,23,ORL,NBA,4.4,77,42,1939,243,540,161,337,82,203,78,94,18,160,178,91,76,14,69,157,646,0.45,0.48,0.4,0.53,0.83,0.56,1,0,False,22
66,Isaiah Thomas,2011-12,22,SAC,NBA,4.3,65,37,1656,256,571,173,352,83,219,154,185,48,120,168,266,53,8,105,121,749,0.45,0.49,0.38,0.52,0.83,0.57,1,1,True,60
67,Bam Adebayo,2017-18,20,MIA,NBA,4.2,69,19,1368,174,340,174,333,0,7,129,179,118,263,381,101,32,41,66,138,477,0.51,0.52,0.0,0.51,0.72,0.57,1,0,False,14
68,Jarrett Allen,2017-18,19,BRK,NBA,4.2,72,31,1441,234,397,229,382,5,15,114,147,144,244,388,49,28,88,82,147,587,0.59,0.6,0.33,0.6,0.78,0.64,1,1,False,22
69,Matt Bonner,2004-05,24,TOR,NBA,4.2,82,0,1553,247,463,208,371,39,92,56,71,108,177,285,48,39,19,40,220,589,0.53,0.56,0.42,0.58,0.79,0.6,1,1,False,45
71,Brandon Jennings,2009-10,20,MIL,NBA,4.2,82,82,2671,451,1216,306,828,145,388,223,273,49,233,282,470,105,18,200,191,1270,0.37,0.37,0.37,0.43,0.82,0.48,1,0,True,10
72,Malcolm Brogdon,2016-17,24,MIL,NBA,4.1,75,28,1982,290,635,212,442,78,193,109,126,47,166,213,317,84,12,113,140,767,0.46,0.48,0.4,0.52,0.87,0.56,1,1,True,36
73,Chris Duhon,2004-05,22,CHI,NBA,4.1,82,73,2177,172,488,78,223,94,265,49,67,23,190,213,398,82,3,119,205,487,0.35,0.35,0.36,0.45,0.73,0.47,1,1,False,38
74,Kirk Hinrich,2003-04,23,CHI,NBA,4.1,76,66,2706,318,823,174,454,144,369,135,168,42,217,259,517,101,21,204,276,915,0.39,0.38,0.39,0.47,0.8,0.51,1,1,True,7
75,Kyrie Irving,2011-12,19,CLE,NBA,4.1,51,51,1558,350,747,277,564,73,183,171,196,44,147,191,275,54,20,160,110,944,0.47,0.49,0.4,0.52,0.87,0.57,1,1,True,1
76,Ed Davis,2010-11,21,TOR,NBA,4.0,65,17,1602,215,373,215,373,0,0,71,128,168,294,462,40,39,67,48,183,501,0.58,0.58,,0.58,0.56,0.58,1,1,False,13
77,Luc Mbah a Moute,2008-09,22,MIL,NBA,4.0,82,52,2114,227,491,227,487,0,4,140,192,189,298,487,87,87,45,100,204,594,0.46,0.47,0.0,0.46,0.73,0.52,1,1,False,37
78,Nerlens Noel,2014-15,20,PHI,NBA,4.0,75,71,2311,302,653,302,653,0,0,140,230,185,426,611,128,133,142,146,208,744,0.46,0.46,,0.46,0.61,0.49,1,1,True,6
79,Emeka Okafor,2004-05,22,CHA,NBA,4.0,73,73,2600,448,1003,448,1002,0,1,209,343,275,520,795,64,62,125,125,214,1105,0.45,0.45,0.0,0.45,0.61,0.48,1,1,True,2
80,Marcus Thornton,2009-10,22,NOH,NBA,4.0,73,17,1872,398,883,281,570,117,313,144,177,72,139,211,114,58,11,76,127,1057,0.45,0.49,0.37,0.52,0.81,0.55,1,1,True,45
80,Marcus Thornton,2009-10,22,NOH,NBA,4.0,73,17,1872,398,883,281,570,117,313,144,177,72,139,211,114,58,11,76,127,1057,0.45,0.49,0.37,0.52,0.81,0.55,1,1,True,43
81,Nick Collison,2004-05,24,SEA,NBA,3.9,82,4,1396,190,354,190,351,0,3,83,118,156,220,376,32,34,50,62,252,463,0.54,0.54,0.0,0.54,0.7,0.57,1,1,False,12
82,Craig Smith,2006-07,23,MIN,NBA,3.9,82,5,1537,246,463,246,457,0,6,116,186,149,267,416,49,51,18,74,223,608,0.53,0.54,0.0,0.53,0.62,0.56,1,1,True,36
84,Charlie Villanueva,2005-06,21,TOR,NBA,3.9,81,36,2361,435,940,365,726,70,214,113,160,181,340,521,88,60,63,99,247,1053,0.46,0.5,0.33,0.5,0.71,0.52,1,1,True,7
85,Willie Cauley-Stein,2015-16,22,SAC,NBA,3.8,66,39,1412,191,339,191,337,0,2,81,125,134,218,352,37,48,66,46,146,463,0.56,0.57,0.0,0.56,0.65,0.59,1,1,True,6
86,Kyle Kuzma,2017-18,22,LAL,NBA,3.8,77,37,2401,468,1039,309,605,159,434,147,208,88,395,483,141,49,34,140,160,1242,0.45,0.51,0.37,0.53,0.71,0.55,1,1,True,27
87,Joakim Noah,2007-08,22,CHI,NBA,3.8,74,31,1534,177,367,177,366,0,1,134,194,174,242,416,84,68,64,89,173,488,0.48,0.48,0.0,0.48,0.69,0.54,1,1,False,9
88,Mehmet Okur,2002-03,23,DET,NBA,3.8,72,9,1366,180,423,142,311,38,112,96,131,117,218,335,71,25,39,66,167,494,0.43,0.46,0.34,0.47,0.73,0.51,1,0,False,37
89,Tony Parker,2001-02,19,SAS,NBA,3.8,77,72,2267,268,639,207,450,61,189,108,160,33,164,197,334,89,7,151,166,705,0.42,0.46,0.32,0.47,0.68,0.5,1,0,True,28
90,Marreese Speights,2008-09,21,PHI,NBA,3.8,79,2,1263,252,502,250,494,2,8,102,132,123,170,293,30,27,56,46,181,608,0.5,0.51,0.25,0.5,0.77,0.54,1,0,False,16
91,Nicolas Batum,2008-09,20,POR,NBA,3.7,79,76,1454,161,361,99,193,62,168,42,52,84,136,220,74,50,40,50,139,426,0.45,0.51,0.37,0.53,0.81,0.56,1,0,False,25
92,Serge Ibaka,2009-10,20,OKC,NBA,3.7,73,0,1323,201,370,200,368,1,2,58,92,138,259,397,10,25,97,68,194,461,0.54,0.54,0.5,0.55,0.63,0.56,1,0,False,24
93,Carl Landry,2007-08,24,HOU,NBA,3.7,42,0,711,135,219,135,218,0,1,72,109,96,111,207,21,17,7,26,98,342,0.62,0.62,0.0,0.62,0.66,0.64,1,1,True,31
94,Ty Lawson,2009-10,22,DEN,NBA,3.7,65,8,1318,201,390,167,307,34,83,106,140,42,82,124,203,48,2,82,89,542,0.52,0.54,0.41,0.56,0.76,0.6,1,1,False,18
96,Morris Peterson,2000-01,23,TOR,NBA,3.6,80,49,1809,290,673,227,508,63,165,104,145,112,147,259,105,63,20,78,164,747,0.43,0.45,0.38,0.48,0.72,0.51,1,0,True,21
97,Landry Shamet,2018-19,21,TOT,NBA,3.6,79,27,1802,240,557,73,161,167,396,75,93,21,113,134,117,37,10,45,155,722,0.43,0.45,0.42,0.58,0.81,0.6,1,1,True,26
98,Channing Frye,2005-06,22,NYK,NBA,3.5,65,14,1572,305,640,302,631,3,9,189,229,138,236,374,53,30,47,97,200,802,0.48,0.48,0.33,0.48,0.83,0.54,1,1,True,8
99,Ben Gordon,2004-05,21,CHI,NBA,3.5,82,3,2002,434,1056,300,725,134,331,233,270,55,160,215,164,53,10,186,224,1235,0.41,0.41,0.41,0.47,0.86,0.53,1,1,True,3
100,Luther Head,2005-06,23,HOU,NBA,3.5,80,27,2310,254,630,141,317,113,313,86,123,33,233,266,215,89,9,119,169,707,0.4,0.45,0.36,0.49,0.7,0.52,1,1,True,24
101,Josh Howard,2003-04,23,DAL,NBA,3.5,67,29,1589,229,532,209,466,20,66,97,138,149,219,368,97,69,54,67,168,575,0.43,0.45,0.3,0.45,0.7,0.49,1,1,True,29
104,LaMarcus Aldridge,2006-07,21,POR,NBA,3.4,63,22,1392,241,479,241,477,0,2,83,115,144,168,312,24,22,73,43,186,565,0.5,0.51,0.0,0.5,0.72,0.53,1,1,False,2
105,Michael Beasley,2008-09,20,MIA,NBA,3.4,81,19,2009,452,957,419,876,33,81,186,241,110,329,439,83,41,37,121,184,1123,0.47,0.48,0.41,0.49,0.77,0.53,1,1,True,2
106,Josh Hart,2017-18,22,LAL,NBA,3.4,63,23,1461,176,375,98,178,78,197,66,94,42,221,263,80,47,16,47,107,496,0.47,0.55,0.4,0.57,0.7,0.6,1,1,False,30
109,O.J. Mayo,2008-09,21,MEM,NBA,3.4,82,82,3120,562,1283,417,905,145,378,247,281,56,252,308,262,91,13,226,204,1516,0.44,0.46,0.38,0.5,0.88,0.54,1,1,True,3
110,Chandler Parsons,2011-12,23,HOU,NBA,3.4,63,57,1804,248,549,188,371,60,178,43,78,90,210,300,134,73,29,81,142,599,0.45,0.51,0.34,0.51,0.55,0.51,1,1,True,38
111,Jarron Collins,2001-02,23,UTA,NBA,3.3,70,68,1440,158,343,158,342,0,1,134,181,138,158,296,58,29,22,56,234,450,0.46,0.46,0.0,0.46,0.74,0.53,1,1,False,52
112,Shai Gilgeous-Alexander,2018-19,20,LAC,NBA,3.3,82,73,2174,341,716,290,577,51,139,156,195,57,175,232,270,96,45,141,175,889,0.48,0.5,0.37,0.51,0.8,0.55,1,1,True,11
115,Frank Kaminsky,2015-16,22,CHO,NBA,3.3,81,3,1708,215,525,147,323,68,202,108,148,69,266,335,98,38,43,58,126,606,0.41,0.46,0.34,0.47,0.73,0.51,1,1,False,9
116,Lauri Markkanen,2017-18,20,CHI,NBA,3.3,68,68,2020,374,862,229,461,145,401,140,166,79,429,508,79,39,40,83,103,1033,0.43,0.5,0.36,0.52,0.84,0.55,1,0,True,7
118,Trae Young,2018-19,20,ATL,NBA,3.3,81,81,2503,525,1256,369,774,156,482,343,414,64,237,301,653,72,15,308,140,1549,0.42,0.48,0.32,0.48,0.83,0.54,1,1,True,5
123,Chase Budinger,2009-10,21,HOU,NBA,3.1,74,4,1488,249,565,157,316,92,249,67,87,38,182,220,88,34,11,48,85,657,0.44,0.5,0.37,0.52,0.77,0.55,1,1,False,44
124,Ryan Gomes,2005-06,23,BOS,NBA,3.1,61,33,1376,173,355,170,346,3,9,112,149,102,196,298,58,35,5,55,83,461,0.49,0.49,0.33,0.49,0.75,0.55,1,1,True,50
125,Tim Hardaway,2013-14,21,NYK,NBA,3.1,81,1,1875,294,687,164,329,130,358,106,128,19,102,121,66,44,7,47,144,824,0.43,0.5,0.36,0.52,0.83,0.55,1,0,False,14
126,Brendan Haywood,2001-02,22,WAS,NBA,3.1,62,2,1266,109,221,109,221,0,0,97,160,143,179,322,29,21,91,50,158,315,0.49,0.49,,0.49,0.61,0.54,1,1,False,20
127,Myles Turner,2015-16,19,IND,NBA,3.1,60,30,1367,264,530,261,516,3,14,88,121,68,264,332,41,25,86,67,158,619,0.5,0.51,0.21,0.5,0.73,0.53,1,1,True,11
128,Beno Udrih,2004-05,22,SAS,NBA,3.1,80,2,1149,173,390,115,248,58,142,67,89,16,67,83,150,41,10,77,96,471,0.44,0.46,0.41,0.52,0.75,0.55,1,1,False,28
129,OG Anunoby,2017-18,20,TOR,NBA,3.0,74,62,1481,163,346,90,149,73,197,39,62,44,140,184,55,52,14,45,130,438,0.47,0.6,0.37,0.58,0.63,0.59,1,1,False,23
130,Bradley Beal,2012-13,19,WAS,NBA,3.0,56,46,1745,282,687,191,451,91,236,125,159,43,168,211,137,50,29,90,113,780,0.41,0.42,0.39,0.48,0.79,0.52,1,1,True,3
132,Jason Collins,2001-02,23,NJN,NBA,3.0,77,9,1407,117,278,116,276,1,2,115,164,132,169,301,81,29,47,72,173,350,0.42,0.42,0.5,0.42,0.7,0.5,1,1,False,18
133,Luol Deng,2004-05,19,CHI,NBA,3.0,61,45,1663,280,645,249,528,31,117,120,162,92,230,322,135,48,27,118,98,711,0.43,0.47,0.27,0.46,0.74,0.5,1,1,True,7
136,Joe Johnson,2001-02,20,TOT,NBA,3.0,77,60,1916,251,584,213,454,38,130,41,53,75,182,257,179,59,20,71,114,581,0.43,0.47,0.29,0.46,0.77,0.48,1,1,False,10
137,Darius Miles,2000-01,19,LAC,NBA,3.0,81,21,2133,318,630,317,611,1,19,124,238,127,350,477,99,51,125,147,191,761,0.51,0.52,0.05,0.51,0.52,0.52,1,0,True,3
139,Quentin Richardson,2000-01,20,LAC,NBA,3.0,76,28,1358,232,525,182,374,50,151,99,158,105,152,257,62,42,7,64,98,613,0.44,0.49,0.33,0.49,0.63,0.52,1,0,False,18
141,Steven Adams,2013-14,20,OKC,NBA,2.9,81,20,1197,93,185,93,185,0,0,79,136,142,190,332,43,40,57,71,203,265,0.5,0.5,,0.5,0.58,0.54,1,1,True,12
142,Jordan Bell,2017-18,23,GSW,NBA,2.9,57,13,809,116,185,116,181,0,4,30,44,60,147,207,102,35,56,51,92,262,0.63,0.64,0.0,0.63,0.68,0.64,1,1,False,38
144,Mikal Bridges,2018-19,22,PHO,NBA,2.9,82,56,2417,242,563,137,250,105,313,95,118,56,208,264,173,129,38,70,201,684,0.43,0.55,0.34,0.52,0.81,0.56,1,0,False,10
145,Miles Bridges,2018-19,20,CHO,NBA,2.9,80,25,1696,237,511,172,311,65,200,58,77,67,256,323,95,55,49,50,111,597,0.46,0.55,0.33,0.53,0.75,0.55,1,1,False,12
146,Darren Collison,2009-10,22,NOH,NBA,2.9,76,37,2109,376,789,330,674,46,115,148,174,41,151,192,432,78,4,202,92,946,0.48,0.49,0.4,0.51,0.85,0.55,1,1,True,21
147,Jared Dudley,2007-08,22,CHA,NBA,2.9,73,14,1384,163,348,154,307,9,41,87,118,121,165,286,81,55,10,50,128,422,0.47,0.5,0.22,0.48,0.74,0.53,1,1,False,22
148,Derrick Favors,2010-11,19,TOT,NBA,2.9,78,27,1535,215,416,215,416,0,0,103,173,171,241,412,39,29,68,77,246,533,0.52,0.52,,0.52,0.6,0.54,1,1,True,3
150,Kelly Olynyk,2013-14,22,BOS,NBA,2.9,70,9,1400,234,502,194,388,40,114,99,122,140,225,365,109,35,27,106,227,607,0.47,0.5,0.35,0.51,0.81,0.55,1,1,True,13
151,Jason Richardson,2001-02,21,GSW,NBA,2.9,80,75,2629,464,1090,382,844,82,246,141,210,124,216,340,236,106,31,160,195,1151,0.43,0.45,0.33,0.46,0.67,0.49,1,1,True,5
152,Marcus Smart,2014-15,20,BOS,NBA,2.9,67,38,1808,175,477,84,205,91,272,82,127,61,161,222,208,99,18,90,176,523,0.37,0.41,0.34,0.46,0.65,0.49,1,1,True,6
153,Renaldo Balkman,2006-07,22,NYK,NBA,2.8,68,1,1064,139,275,134,248,5,27,51,90,97,197,294,44,57,44,49,146,334,0.51,0.54,0.19,0.52,0.57,0.53,1,1,False,20
154,Harrison Barnes,2012-13,20,GSW,NBA,2.8,81,81,2058,276,628,224,483,52,145,144,190,53,280,333,98,52,14,101,140,748,0.44,0.46,0.36,0.48,0.76,0.53,1,1,True,7
155,Speedy Claxton,2001-02,23,PHI,NBA,2.8,67,18,1528,181,452,177,419,4,33,114,136,46,114,160,198,95,6,95,145,480,0.4,0.42,0.12,0.41,0.84,0.47,1,1,False,20
158,David West,2003-04,23,NOH,NBA,2.8,71,1,930,108,228,108,226,0,2,57,80,117,180,297,60,27,28,48,117,273,0.47,0.48,0.0,0.47,0.71,0.52,1,1,False,18
159,Deron Williams,2005-06,21,UTA,NBA,2.8,80,47,2307,339,805,248,586,91,219,95,135,35,159,194,359,60,17,145,233,864,0.42,0.42,0.42,0.48,0.7,0.5,1,1,True,3
160,Marvin Williams,2005-06,19,ATL,NBA,2.8,79,7,1952,235,531,222,478,13,53,189,253,122,261,383,63,48,24,83,227,672,0.44,0.46,0.25,0.46,0.75,0.52,1,1,True,2
161,Tony Allen,2004-05,23,BOS,NBA,2.7,77,34,1262,184,387,172,356,12,31,112,152,85,136,221,64,76,24,77,156,492,0.48,0.48,0.39,0.49,0.74,0.54,1,1,False,25
162,Gilbert Arenas,2001-02,20,GSW,NBA,2.7,47,30,1155,174,384,135,271,39,113,124,160,41,91,132,174,69,11,97,115,511,0.45,0.5,0.35,0.5,0.78,0.56,1,1,False,30
164,Devin Harris,2004-05,21,DAL,NBA,2.7,76,19,1173,157,366,113,235,44,131,78,103,28,74,102,169,77,19,82,139,436,0.43,0.48,0.34,0.49,0.76,0.53,1,1,False,5
165,Al Jefferson,2004-05,20,BOS,NBA,2.7,71,1,1051,195,369,195,366,0,3,85,135,119,193,312,24,22,55,66,195,475,0.53,0.53,0.0,0.53,0.63,0.55,1,1,True,15
166,David Lee,2005-06,22,NYK,NBA,2.7,67,14,1129,137,230,137,230,0,0,71,123,109,194,303,43,30,20,51,124,345,0.6,0.6,,0.6,0.58,0.61,1,1,False,59
166,David Lee,2005-06,22,NYK,NBA,2.7,67,14,1129,137,230,137,230,0,0,71,123,109,194,303,43,30,20,51,124,345,0.6,0.6,,0.6,0.58,0.61,1,1,False,30
168,Jared Sullinger,2012-13,20,BOS,NBA,2.7,45,5,892,111,225,110,220,1,5,47,63,92,172,264,35,22,22,29,154,270,0.49,0.5,0.2,0.5,0.75,0.53,1,1,False,21
169,Jason Thompson,2008-09,22,SAC,NBA,2.7,82,56,2303,356,717,356,709,0,8,198,286,234,372,606,93,46,59,146,314,910,0.5,0.5,0.0,0.5,0.69,0.54,1,0,False,12
170,Trevor Booker,2010-11,23,WAS,NBA,2.6,65,14,1063,139,253,139,252,0,1,68,101,98,153,251,35,29,42,38,115,346,0.55,0.55,0.0,0.55,0.67,0.58,1,1,False,23
171,Jalen Brunson,2018-19,22,DAL,NBA,2.6,73,38,1591,264,565,201,384,63,181,87,120,25,144,169,230,37,4,88,127,678,0.47,0.52,0.35,0.52,0.73,0.55,1,1,False,33
172,Ike Diogu,2005-06,22,GSW,NBA,2.6,69,14,1031,175,334,175,334,0,0,136,168,95,134,229,29,15,30,78,164,486,0.52,0.52,,0.52,0.81,0.6,1,1,False,9
173,Raymond Felton,2005-06,21,CHA,NBA,2.6,80,54,2406,345,883,248,612,97,271,161,222,77,188,265,446,102,8,182,181,948,0.39,0.41,0.36,0.45,0.73,0.48,1,1,True,5
174,Marc Jackson,2000-01,26,GSW,NBA,2.6,48,35,1410,237,508,232,485,5,23,154,192,119,242,361,59,34,27,93,138,633,0.47,0.48,0.22,0.47,0.8,0.53,1,0,True,37
175,Luke Kennard,2017-18,21,DET,NBA,2.6,73,9,1463,206,465,125,270,81,195,65,76,21,155,176,124,44,13,69,86,558,0.44,0.46,0.42,0.53,0.86,0.56,1,1,False,12
176,Jamaal Magloire,2000-01,22,CHH,NBA,2.6,74,0,1095,122,271,122,269,0,2,95,145,103,192,295,27,18,78,61,139,339,0.45,0.45,0.0,0.45,0.66,0.51,1,0,False,19
177,Darius Songaila,2003-04,25,SAC,NBA,2.6,73,7,976,133,273,133,273,0,0,71,88,91,134,225,48,42,12,43,126,337,0.49,0.49,,0.49,0.81,0.54,1,1,False,49
