Player,Team,Season,Award
Michael Beasley,Miami Heat,2008-09,First
Brook Lopez,New Jersey Nets,2008-09,First
O.J. Mayo,Memphis Grizzlies,2008-09,First
Derrick Rose,Chicago Bulls,2008-09,First
Russell Westbrook,Oklahoma City Thunder,2008-09,First
Mario Chalmers,Miami Heat,2008-09,Second
Marc Gasol,Memphis Grizzlies,2008-09,Second
Eric Gordon,LA Clippers,2008-09,Second
Kevin Love,Minnesota Timberwolves,2008-09,Second
D.J. Augustin (tie),Charlotte Bobcats,2008-09,Second
Rudy Fernandez (tie),Portland Trail Blazers,2008-09,Second
Kevin Durant,Seattle SuperSonics,2007-08,First
Jeff Green,Seattle SuperSonics,2007-08,First
Al Horford,Atlanta Hawks,2007-08,First
Luis Scola,Houston Rockets,2007-08,First
Al Thornton,L.A. Clippers,2007-08,First
Carl Landry,Houston Rockets,2007-08,Second
Jamario Moon,Toronto Raptors,2007-08,Second
Juan Carlos Navarro,Memphis Grizzlies,2007-08,Second
Rodney Stuckey,Detroit Pistons,2007-08,Second
Thaddeus Young,Philadelphia 76ers,2007-08,Second
Andrea Bargnani,Toronto Raptors,2006-07,First
Randy Foye,Minnesota Timberwolves,2006-07,First
Rudy Gay,Memphis Grizzlies,2006-07,First
Brandon Roy,Portland Trail Blazers,2006-07,First
LaMarcus Aldridge (tie),Portland Trail Blazers,2006-07,First
Jorge Garbajosa (tie),Toronto Raptors,2006-07,First
Paul Millsap,Utah Jazz,2006-07,Second
Adam Morrison,Charlotte Bobcats,2006-07,Second
Craig Smith,Minnesota Timberwolves,2006-07,Second
Tyrus Thomas,Chicago Bulls,2006-07,Second
Walter Hermann (tie),Charlotte Bobcats,2006-07,Second
Rajon Rondo (tie),Boston Celtics,2006-07,Second
Marcus Williams (tie),New Jersey Nets,2006-07,Second
Andrew Bogut,Milwaukee Bucks,2005-06,First
Channing Frye,New York Knicks,2005-06,First
Chris Paul,New Orleans Hornets,2005-06,First
Charlie Villanueva,Toronto Raptors,2005-06,First
Deron Williams,Utah Jazz,2005-06,First
Raymond Felton,Charlotte Bobcats,2005-06,Second
Ryan Gomes,Boston Celtics,2005-06,Second
Danny Granger,Indiana Pacers,2005-06,Second
Luther Head,Houston Rockets,2005-06,Second
Marvin Williams,Atlanta Hawks,2005-06,Second
Luol Deng,Chicago Bulls,2004-05,First
Ben Gordon,Chicago Bulls,2004-05,First
Dwight Howard,Orlando Magic,2004-05,First
Andre Iguodala,Philadelphia 76ers,2004-05,First
Emeka Okafor,Charlotte Bobcats,2004-05,First
Josh Childress,Atlanta Hawks,2004-05,Second
Al Jefferson,Boston Celtics,2004-05,Second
Nenad Krstic,New Jersey Nets,2004-05,Second
Jameer Nelson,Orlando Magic,2004-05,Second
Josh Smith,Atlanta Hawks,2004-05,Second
Carmelo Anthony,Denver Nuggets,2003-04,First
Chris Bosh,Toronto Raptors,2003-04,First
Kirk Hinrich,Chicago Bulls,2003-04,First
LeBron James,Cleveland Cavaliers,2003-04,First
Dwyane Wade,Miami Heat,2003-04,First
Marquis Daniels,Dallas Mavericks,2003-04,Second
T.J. Ford,Milwaukee Bucks,2003-04,Second
Udonis Haslem,Miami Heat,2003-04,Second
Jarvis Hayes,Washington Wizards,2003-04,Second
Josh Howard,Dallas Mavericks,2003-04,Second
Caron Butler,Miami Heat,2002-03,First
Drew Gooden,Memphis Grizzlies/Orlando Magic,2002-03,First
Nene Hilario,Denver Nuggets,2002-03,First
Yao Ming,Houston Rockets,2002-03,First
Amare’ Stoudemire,Phoenix Suns,2002-03,First
Carlos Boozer,Cleveland Cavaliers,2002-03,Second
J.R. Bremer,Boston Celtics,2002-03,Second
Manu Ginobili,San Antonio Spurs,2002-03,Second
Gordon Giricek,Memphis Grizzlies/Orlando Magic,2002-03,Second
