PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Xavier Tillman Sr.,PF-C,8.50%,10.25,11.00,6'7.50'',6'8.50'',8'10.00'',266.5,7'2.00''
Naji Marshall,SF,8.70%,9.25,10.50,6'5.75'',6'7.00'',8'6.50'',233.5,7'0.75''
Kahlil Whitney,SF,5.30%,9.25,10.25,6'5.50'',6'7.00'',8'9.50'',205.0,7'0.25''
Reggie Perry,PF-C,8.40%,9.25,11.00,6'8.25'',6'9.25'',8'10.50'',249.6,7'0.25''
Jalen Smith,PF-C,3.70%,9.25,9.25,6'9.25'',6'10.25'',9'2.00'',224.6,7'2.25''
Udoka Azubuike,C,9.61%,9.25,10.00,6'10.00'',6'11.50'',9'1.00'',259.5,7'7.25''
Paul Eboua,SF-PF,3.80%,9.00,10.25,6'6.00'',6'7.50'',9'0.00'',222.2,7'3.50''
Robert Woodard II,SF,4.50%,9.00,10.75,6'5.50'',6'7.00'',8'9.50'',230.2,7'2.00''
Trent Forrest,PG,5.65%,9.00,9.75,6'3.50'',6'4.75'',8'6.50'',203.0,6'7.50''
Ashton Hagans,PG,4.10%,9.00,9.00,6'1.50'',6'2.50'',8'3.50'',193.0,6'8.00''
Nathan Knight,PF-C,8.20%,9.00,9.50,6'8.00'',6'9.75'',9'1.50'',235.0,7'2.00''
Zeke Nnaji,PF-C,5.90%,9.00,10.50,6'9.25'',6'10.50'',8'9.50'',246.8,7'2.00''
Precious Achiuwa,PF,6.70%,9.00,10.00,6'7.50'',6'8.75'',9'0.50'',234.0,7'0.75''
Mamadi Diakite,PF,7.83%,9.00,10.25,6'8.50'',6'10.25'',8'11.00'',222.1,7'3.75''
Paul Reed Jr.,PF,6.83%,9.00,8.75,6'8.50'',6'9.25'',9'1.50'',219.2,7'2.00''
Nick Richards,C,8.50%,9.00,9.00,6'10.50'',6'11.50'',9'2.00'',241.6,7'2.25''
Isaiah Stewart,C,7.50%,9.00,10.50,6'7.25'',6'8.50'',9'0.50'',243.0,7'4.75''
Kaleb Wesson,C,12.50%,9.00,10.75,6'9.25'',6'10.25'',9'3.50'',252.6,7'3.50''
CJ Elleby,SG-SF,4.20%,8.75,10.00,6'5.50'',6'6.25'',8'4.50'',198.6,6'7.25''
Ty-Shon Alexander,SG,12.30%,8.75,8.75,6'2.00'',6'4.00'',8'4.00'',200.8,6'8.00''
Mason Jones,SG,8.90%,8.75,8.50,6'3.75'',6'5.75'',8'6.50'',207.2,6'7.00''
Jahmi'us Ramsey,SG,3.40%,8.75,9.75,6'2.50'',6'3.75'',8'4.50'',193.4,6'6.00''
Joshua Hall,SF,7.60%,8.75,9.50,6'6.00'',6'7.50'',8'8.50'',196.6,6'11.00''
Cassius Winston,PG,9.00%,8.75,8.25,6'0.50'',6'1.50'',8'1.00'',196.0,6'6.00''
Yoeli Childs,PF,8.20%,8.75,10.00,6'6.00'',6'7.00'',8'10.00'',226.4,6'11.50''
Elijah Hughes,SF-SG,10.20%,8.50,8.75,6'4.75'',6'6.50'',8'5.50'',229.0,6'7.50''
Kenyon Martin Jr.,SF-PF,5.90%,8.50,8.75,6'6.00'',6'7.00'',8'6.00'',213.2,6'7.25''
Jordan Nwora,SF-PF,11.68%,8.50,9.25,6'5.75'',6'7.00'',8'8.00'',223.0,6'10.25''
Lamar Stevens,SF-PF,6.80%,8.50,9.75,6'5.75'',6'6.75'',8'5.00'',228.0,6'9.00''
Karim Mane,PG-SG,3.73%,8.50,9.75,6'5.00'',6'6.00'',8'6.00'',196.0,6'11.00''
Markus Howard,PG,9.91%,8.50,7.75,5'9.50'',5'11.00'',7'7.50'',170.8,6'0.25''
Theo Maledon,PG,2.80%,8.50,10.00,6'4.00'',6'5.00'',8'4.50'',187.4,6'8.75''
Tyler Bey,PF,5.00%,8.50,9.00,6'6.00'',6'7.00'',8'9.50'',212.8,7'1.25''
Jayden Scrubb,SG-SF,3.70%,8.25,9.75,6'5.00'',6'6.25'',8'8.50'',185.2,6'9.50''
Jalen Harris,SG,4.40%,8.25,9.50,6'2.75'',6'4.25'',8'1.50'',193.4,6'7.00''
Isaiah Joe,SG,4.70%,8.25,8.25,6'3.00'',6'4.50'',8'5.00'',170.4,6'7.50''
Cassius Stanley,SG,5.80%,8.25,9.00,6'5.00'',6'6.25'',8'3.50'',201.6,6'7.00''
Devon Dotson,PG,4.60%,8.25,10.00,6'0.50'',6'1.75'',7'11.00'',185.2,6'3.00''
Killian Tillie,PF,12.43%,8.25,9.25,6'8.75'',6'10.00'',8'10.00'',221.6,6'8.00''
Josh Green,SG-SF,6.80%,8.00,8.75,6'4.50'',6'5.50'',8'5.50'',214.0,6'9.75''
Skylar Mays,SG,7.40%,8.00,9.75,6'3.00'',6'4.00'',8'3.00'',204.0,6'6.00''
Immanuel Quickley,SG,8.20%,8.00,8.75,6'2.00'',6'3.00'',8'3.00'',185.8,6'8.25''
Myles Powell,PG-SG,15.80%,8.00,9.00,6'0.50'',6'1.50'',8'3.00'',194.0,6'7.00''
Grant Riller,PG-SG,5.40%,8.00,8.50,6'0.25'',6'1.00'',8'0.50'',178.4,6'5.25''
Tyrell Terry,PG,7.60%,7.50,8.25,6'1.50'',6'3.00'',8'0.00'',170.0,6'1.75''
