PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Mohamed Abukar,SF,8.90%,-,-,6' 8'',6' 9.75'',8' 7'',210.0,6' 9''
Mario Boggan,PF,9.20%,-,-,6' 5'',6' 7'',8' 11'',240.0,7' 2''
Craig Bradshaw,PF,12.10%,-,-,6' 8'',6' 9.75'',8' 10.5'',240.0,7' 1.5''
Corey Brewer,SF-SG,4.20%,-,-,6' 6'',6' 7.75'',8' 7'',185.0,6' 8.25''
Aaron Brooks,PG,2.70%,-,-,5' 10'',5' 11.75'',7' 10'',161.0,6' 4''
Bobby Brown,PG,6.60%,-,-,5' 11'',6' 1.75'',7' 11.5'',170.0,6' 4''
Russell Carter,SG,6.00%,-,-,6' 3'',6' 4.5'',8' 1.5'',221.0,6' 8.5''
Coleman Collins,PF,6.20%,-,-,6' 8'',6' 9.75'',8' 11'',236.0,7' 2''
Mike Conley,PG,4.20%,-,-,5' 11'',6' 0.75'',7' 10.5'',175.0,6' 5.75''
Daequan Cook,SG,7.00%,-,-,6' 3'',6' 5.75'',8' 5.5'',203.0,6' 8.25''
Ryvon Covile,C-PF,8.00%,-,-,6' 7'',6' 8.5'',8' 11.5'',250.0,7' 1.25''
Javaris Crittenton,PG,4.50%,-,-,6' 3'',6' 4.75'',8' 2'',194.0,6' 5.5''
Jermareo Davidson,PF,6.90%,-,-,6' 9'',6' 11'',9' 1.5'',230.0,7' 4''
Justin Doellman,PF,7.00%,-,-,6' 8'',6' 9.5'',8' 9'',205.0,6' 8.75''
Zabian Dowdell,PG,5.10%,-,-,6' 1'',6' 3'',8' 4'',191.0,6' 10''
Jared Dudley,SF,7.10%,-,-,6' 5'',6' 7.25'',8' 6'',219.0,6' 7''
Kevin Durant,SF-PF,6.60%,-,-,6' 9'',6' 10.25'',9' 2'',215.0,7' 4.75''
Rashaun Freeman,PF,11.50%,-,-,6' 6'',6' 8'',8' 8'',244.0,6' 11.5''
Aaron Gray,C,10.80%,-,-,7' 0'',7' 1.75'',9' 0.5'',271.0,7' 3.25''
Caleb Green,PF,10.90%,-,-,6' 6'',6' 8'',8' 7'',238.0,6' 11.75''
Jeff Green,SF,3.70%,-,-,6' 7'',6' 9.5'',8' 7'',228.0,7' 1.25''
Taurean Green,PG,4.60%,-,-,5' 11'',6' 0.75'',8' 0'',173.0,6' 2.25''
Spencer Hawes,PF,13.00%,-,-,6' 10'',7' 0.75'',9' 2'',244.0,7' 0.5''
Brandon Heath,PG,9.00%,-,-,6' 2'',6' 3.75'',7' 10'',181.0,6' 7''
Herbert Hill,C,5.60%,-,-,6' 7'',6' 9.75'',9' 0.5'',232.0,7' 2.25''
Al Horford,PF,9.10%,-,-,6' 8'',6' 9.75'',8' 11'',246.0,7' 0.75''
Quinton Hosley,SF-SG,5.70%,-,-,6' 5'',6' 7.75'',8' 9'',215.0,6' 11.25''
