PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
AJ Lawson,SG-SF,4.40%,8.50,9.25,6'5.5'',6'6.75'',8'3.5'',179.2,6'6.75''
Aaron Wiggins,SG-SF,5.00%,8.75,8.50,6'4.5'',6'5.0'',8'7.0'',190.0,6'9.75''
Ochai Agbaji,SG,4.15%,9.00,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0''
James Bouknight,SG,5.50%,8.75,9.00,6'3.5'',6'4.75'',8'5.5'',190.0,6'8.25''
Josh Christopher,SG,5.80%,8.75,8.50,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25''
Ayo Dosunmu,SG,4.90%,8.50,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25''
David Duke Jr.,SG,5.90%,8.50,9.00,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75''
Jalen Green,SG,-%,-,-,,,,-,
Quentin Grimes,SG,6.60%,8.50,10.00,6'4.0'',6'5.25'',8'5.0'',205.0,6'8.0''
Nah'Shon Hyland,SG,5.80%,8.75,9.00,6'2.0'',6'3.5'',8'5.5'',169.0,6'9.25''
David Johnson,SG,7.50%,8.25,8.50,6'3.25'',6'4.75'',8'8.0'',202.8,6'10.5''
Keon Johnson,SG,4.40%,8.50,9.00,6'3.5'',6'4.75'',8'1.0'',184.8,6'7.25''
Johnny Juzang,SG,8.00%,8.50,9.50,6'5.5'',6'7.0'',8'4.5'',209.0,6'10.5''
Moses Moody,SG,6.80%,9.00,10.00,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75''
John Petty Jr.,SG,5.60%,8.50,9.00,6'4.5'',6'5.75'',8'7.5'',186.2,6'9.5''
Joshua Primo,SG,6.30%,9.00,10.00,6'4.0'',6'5.0'',8'6.5'',189.0,6'9.25''
